npsn,level,name
10202661,SMA,SMA SWASTA AL WASLIYAH 2 SERBELAWAN
10202662,SMA,SMA SWASTA ABDI SEJATI PERDAGANGAN
10202669,SMA,SMA SWASTA SATRYA BUDI PERDAGANGAN
10202670,SMA,SMA SWASTA ISLAM PROYEK UISU SIANTAR
10202672,SMA,SMA SWASTA PGRI-29 PERUMNAS Bt.6 Simalungun
10202674,SMA,SMA SWASTA PEMBANGUNAN
10202677,SMA,SMA SWASTA MUHAMMADIYAH 7 SERBALAWAN
10202680,SMA,SMA SWASTA KARYA SIMANTIN
10202681,SMA,SMA SWASTA HKBP SERBELAWAN
10202682,SMA,SMA SWASTA HKBP HUTABAYURAJA
10202721,SMA,SMA SWASTA SINAR SURYA
10202724,SMK,SMK SWASTA SATRYA BUDI 2 PERDAGANGAN
10202725,SMK,SMK SWASTA SATRYA BUDI KARANG REJO
10202726,SMK,SMK SWASTA PEMBAHARUAN 2 SIANTAR
10202727,SMK,SMK SWASTA PEMBAHARUAN 1 SIANTAR
10202728,SMK,SMK SWASTA NUSANTARA SYAHKUDA
10202729,SMK,SMK SWASTA NUSANTARA TANAH JAWA
10202733,SMK,SMK SWASTA GKPS 1 RAYA
10202734,SMK,SMK SWASTA GKPS 2 PEMATANGSIANTAR
10202737,SMK,SMK SWASTA BERDIKARI
10202738,SMK,SMK SWASTA 1 TAMAN ILMU PARLANAAN
10202739,SMK,SMK SWASTA TUNAS JAYA TANAH JAWA
10202752,SMK,SMK SWASTA ISLAM SIMALUNGUN
10202753,SMK,SMK SWASTA YPI DHARMA BUDI
10202755,SMK,SMK SWASTA ASSISI SIANTAR
10202756,SMK,SMK SWASTA AL WASHLIYAH 7 SERBELAWAN
10202757,SMK,SMK SWASTA AL WASHLIYAH 2 PERDAGANGAN
10202768,SMA,SMA SWASTA YPI DHARMA BUDI
10202769,SMA,SMA SWASTA TUNAS HARAPAN
10202772,SMA,SMA SWASTA TELADAN BANGUN
10202776,SMK,SMK SWASTA ABDI SEJATI
10202778,SMK,SMK SWASTA SATRYA BUDI 1 PERDAGANGAN
10202782,SMK,SMK SWASTA TPI AL-HASANAH
10202783,SMK,SMK SWASTA TELADAN JORLANG HATARAN
10203516,SMA,SMAS BUKIT CAHAYA SUMBUL
10203517,SMA,SMAS BUKIT CAHAYA SIDIKALANG
10203518,SMA,SMAS KESUMA SUMBUL KARO
10203520,SMA,SMAS PERGURUAN NASIONAL
10203521,SMA,SMAS RISMANDUMA
10203523,SMA,SMAS SANTO PETRUS SIDIKALANG
10203525,SMA,SMAS ADVENT SUMBUL
10203539,SMK,SMKS PARIWISATA PRIMA SIDIKALANG
10203540,SMK,SMKS BUKIT CAHAYA 1
10203541,SMK,SMKS TEKNIK DAIRI
10203548,SMK,SMKS BUKIT CAHAYA 2
10203556,SMK,SMKS HKBP SIDIKALANG
10203558,SMK,SMKS ADVENT SUMBUL
10204027,SMK,SMKS 1 YAPIM SIMPANG KAWAT
10204028,SMK,SMKS UMUM SENTOSA
10204029,SMK,SMKS TRIYADIKAYASA
10204030,SMK,SMKS TELADAN INDRAPURA
10204031,SMK,SMKS TAMAN SISWA SUKADAMAI
10204032,SMK,SMKS TAMAN SISWA KISARAN
10204068,SMK,SMKS AL MASHUM KISARAN
10204069,SMK,SMKS T AMIR HAMZAH INDRAPURA
10204070,SMK,SMKS PEMDA KISARAN
10204071,SMK,SMKS NUSANTARA LABUHAN RUKU
10204072,SMK,SMKS NASIONAL KISARAN
10204077,SMK,SMKS MUHAMMADIYAH 10
10204078,SMK,SMKS MERANTI
10204079,SMK,SMKS KESATUAN MERANTI KISARAN
10204080,SMK,SMKS DIPONEGORO KISARAN
10204082,SMK,SMKS BUDHI DARMA INDRAPURA
10204083,SMK,SMKS 2 YAPIM SIMPANG KAWAT
10204225,SMA,SMAS KESATUAN MERANTI
10204226,SMA,SMAS HARAPAN LOBU RAPPA BDR PL
10204227,SMA,SMAS DIPONEGORO KISARAN
10204228,SMA,SMA SWASTA DAERAH SEI BEJANGKAR
10204229,SMA,SMAS DAERAH KISARAN
10204230,SMA,SMA SWASTA DAERAH AIR PUTIH
10204231,SMA,SMAS DAERAH AIR JOMAN
10204232,SMA,SMAS DAERAH AIR BATU
10204233,SMA,SMAS BINA BUDAYA RAWANG
10204235,SMA,SMAS ASAHAN KISARAN
10204236,SMA,SMAS ALWASLIYAH 8 MERANTI
10204237,SMA,SMAS AL MA SHUM KISARAN BRT
10204238,SMA,SMA SWASTA ADVENT TANJUNG KASAU
10204240,SMA,SMAS MERANTI
10204241,SMA,SMAS METHODIST 2 KISARAN
10204242,SMA,SMA SWASTA MITRA INALUM
10204245,SMA,SMAS YAPIM SIMPANG KAWAT
10204246,SMA,SMAS UMUM SENTOSA
10204247,SMA,SMAS TRIYADIKA YASA
10204248,SMA,SMA SWASTA TELADAN INDRAPURA
10204249,SMA,SMAS TAMAN SISWA SUKADAMAI
10204250,SMA,SMAS TAMAN SISWA KISARAN
10204251,SMA,SMAS SWADAYA PULAU RAKYAT
10204252,SMA,SMA SWASTA SEPAKAT SEI BALAI
10204253,SMA,SMAS PANTI BUDAYA KISARAN
10204254,SMA,SMA SWASTA NUSANTARA LABUHANRUKU
10204255,SMA,SMA SWASTA NASIONAL PETATAL
10204256,SMA,SMAS MUHAMMADIYAH 8 KISARAN ASAHAN
10205184,SMK,SMKS SITI BANUN SIGAMBAL
10205186,SMK,SMKS PGRI 15 RANTAUPRAPAT
10205189,SMK,SMKS PELITA 2 AEK KANOPAN
10205190,SMK,SMKS MUHAMMADIYAH 3 AEK KANOPAN
10205191,SMK,SMKS METHODIST AEK NABARA
10205192,SMK,SMKS KUALUH 1 AEK KANOPAN
10205193,SMK,SMKS KIHAJAR DEWANTARA
10205194,SMK,SMKS ISLAMIYAH 2
10205196,SMK,SMKS DWI GUNA KAMPUNG PAJAK
10205197,SMK,SMKS BUDI UTOMO 1 CIKAMPAK
10205200,SMK,SMKS AL WASHLIYAH 2 MERBAU
10205203,SMK,SMKS PGRI 17 LOHSARI
10205205,SMK,SMKS BUDI RANTAUPRAPAT
10205206,SMK,SMKS RAUDATUL ULLUM 1 AEK NABARA
10205207,SMK,SMKS RAUDATUL ULUM 2 AEK NABARA
10205209,SMK,SMKS PEMDA RANTAUPRAPAT
10205210,SMK,SMKS PELITA 1 AEK KANOPAN
10205214,SMK,SMKS HARAPAN AEK KANOPAN
10205215,SMK,SMKS BUDI UTOMO 2 CIKAMPAK
10205216,SMK,SMKS AL WASHLIYAH 1 MERBAU
10205289,SMK,SMKS ABDI NEGARA
10205366,SMA,SMAS YPKK AJAMU
10205367,SMA,SMAS TASIK RAJA
10205368,SMA,SMAS ST YOSEPH AEK KANOPAN
10205369,SMA,SMAS BINTANG TIMUR RANTAUPRAPAT
10205371,SMA,SMAS AEKNABARA
10205372,SMA,SMAS PEMBANGUNAN SILANG KITANG
10205373,SMA,SMAS PELITA AEKKANOPAN
10205374,SMA,SMAS PANGLIMA POLEM RANTAUPRAPAT
10205375,SMA,SMAS MUHAMMADIYAH 10 RANTAUPRAPAT
10205376,SMA,SMAS MUHAMMADIYAH 9 AEKKANOPAN
10205377,SMA,SMAS METHODIST RANTAUPRAPAT
10205396,SMA,SMAS KARYA TANI PANAI T S E
10205397,SMA,SMAS KARYA HANDAYANI
10205416,SMA,SMAS DI PANJAITAN TANJUNG LEIDONG
10205417,SMA,SMAS BHAYANGKARI 2 RANTAUPRAPAT
10206116,SMK,SMKS HKI SARULLA
10206126,SMK,SMKS HKBP SARULLA
10206513,SMK,SMKS CINTA RAKYAT SIRANDORUNG
10206514,SMK,SMKS TIK TRI MULIA BHAKTI
10206515,SMK,SMKS MADUMA
10206516,SMK,SMKS TI BINA WARGA
10206577,SMA,SMAS SW TIGA BUKIT
10206585,SMA,SMAS SW KELUARGA
10206586,SMA,SMAS SW BUDI MULIA
10206597,SMK,SMKS TI MUHAMMADIYAH 11 SIBULUAN
10208076,SMK,SMKS MITRA MANDIRI
10208077,SMK,SMKS MERPATI NUSANTARA
10208084,SMK,SMKS WILLEM ISKANDER
10208158,SMA,SMAS MUHAMMADIYAH 13 PANYABUNGAN
10208159,SMA,SMAS WIRA BANGSA
10208457,SMA,SMAS BINTANG TIMUR BALIGE
10208514,SMK,SMKS PGRI 10 BALIGE
10208515,SMK,SMKS ANUGERAH PARSOBURAN
10208516,SMK,SMKS PGRI 7 BALIGE
10208518,SMK,SMKS KARYA PENDIDIK BALIGE
10208521,SMK,SMKS PEMBAHARUAN PORSEA
10208522,SMK,SMKS 1 PARULIAN 4 PORSEA
10208523,SMK,SMKS SOPOSURUNG BALIGE
10208702,SMK,SMKS GKLI SIHABONGHABONG PARLILITAN
10208703,SMK,SMKS HKBP LINTONGNIHUTA
10208707,SMK,SMKS NUSANTARA DOLOKSANGGUL
10208709,SMK,SMKS TRISULA DOLOKSANGGUL
10208721,SMA,SMAS HKBP DOLOKSANGGUL
10208722,SMA,SMAS RK ST MARIA PAKKAT
10208943,SMA,SMAS ADVENT SIMBOLON
10208945,SMK,SMK SWASTA KARYA JAYA PANGURURAN
10208946,SMK,SMK SWASTA HKBP PANGURURAN
10208952,SMA,SMAS ST PETRUS URAT
10208953,SMA,SMAS ST MIKHAEL PANGURURAN
10208954,SMA,SMAS PEMBANGUNAN NAINGGOLAN
10208955,SMA,SMAS KARYA JAYA PANGURURAN
10208956,SMA,SMAS HKBP PANGURURAN
10209283,SMK,SMKS YAPIM SEI BAMBAN
10209284,SMK,SMKS TELADAN SEI RAMPAH
10209285,SMK,SMKS TAMAN SISWA NAGARAJA
10209287,SMK,SMKS SHINTHA BAKTI SEI RAMPAH
10209300,SMK,SMKS SATRIA DARMA 1
10209388,SMA,SMAS DHARMA UTAMA
10209390,SMK,SMKS DHARMA UTAMA PEGAJAHAN
10209391,SMK,SMKS AL WASHLIYAH 9
10209392,SMK,SMKS AL WASHLIYAH 8
10209398,SMK,SMKS HARUM SENTOSA PERBAUNGAN
10209399,SMK,SMKS KARTINI UTAMA SEI RAMPAH
10209402,SMK,SMKS MUSDA PERBAUNGAN
