link,npsn,name,address,akreditasi,kepala_sekolah,operator,guru,siswa_l,siswa_p,rombongan_belajar,kurikulum,penyelenggaraan,mbs,semester_data,akses_internet,sumber_listrik,daya_listrik,luas_tanah_m2,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,r_siswa_rombel,r_siswa_ruang_kelas,r_siswa_guru,p_guru_kualifikasi,p_guru_sertifikasi,p_guru_pns,p_ruang_kelas_layak,guru_status_pns,guru_status_gtt,guru_status_gty,guru_status_honor,guru_sertifikasi,guru_belum_sertifikasi,guru_ijazah_kurang_dari_S1,guru_ijazah_S1_atau_lebih,guru_ijazah_data_kosong,guru_jk_laki_laki,guru_jk_perempuan,tk_status_pns,tk_status_honor,tk_total,tk_ijazah_kurang_dari_S1,tk_ijazah_S1_atau_lebih,tk_ijazah_data_kosong,tk_jk_laki_laki,tk_jk_perempuan,nilai_akreditasi_tahun,nilai_akreditasi_akhir
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5856D801-5C9E-44D9-85D8-5C23D2F2DC10,70039968,SMK STA. MARIA DE LOURDES,"JLN. RADALOKO, Rada Loko, Kec. Kodi Bangedo, Kab. Sumba Barat Daya Prov. Nusa Tenggara Timur",,,"Marthen Jaha Baba,S.Pd",10,175,153,8,SMK 2013 REV. Asisten Keperawatan,Pagi/6 hari,False,2023/2024-2,Tidak Ada,PLN,2400,40000,4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6D0F5F18-B489-4A90-8C5E-609C5B5A8EC4,70044057,SMK Negeri 1 Sukabangun,"Dusun Bandar Rumput, Pulo Pakat, Kec. Sukabangun, Kab. Tapanuli Tengah Prov. Sumatera Utara",,,ANGGA AUONRO HUTAURUK,4,0,0,0,,,False,2023/2024-2,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F0C31EA7-00A9-4843-BFF1-C3FA392E697B,70026945,SMKS FAVORIT MAARIF BAHRUL ULUM MEMPAWAH,"Jl. Dusun Tekam, Sejegi, Kec. Mempawah Timur, Kab. Mempawah Prov. Kalimantan Barat",,ANDI SAPUTRA,RAHMAT HARI JULAKBAR,13,36,36,3,SMK 2013 REV.  Perbankan Syariah,Pagi/6 hari,False,2023/2024-2,Tidak Ada,PLN,1200,1,3,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
