link,npsn,name,address,akreditasi,kepala_sekolah,operator,guru,siswa_l,siswa_p,rombongan_belajar,kurikulum,penyelenggaraan,mbs,semester_data,akses_internet,sumber_listrik,daya_listrik,luas_tanah_m2,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,r_siswa_rombel,r_siswa_ruang_kelas,r_siswa_guru,p_guru_kualifikasi,p_guru_sertifikasi,p_guru_pns,p_ruang_kelas_layak,guru_status_pns,guru_status_gtt,guru_status_gty,guru_status_honor,guru_sertifikasi,guru_belum_sertifikasi,guru_ijazah_kurang_dari_S1,guru_ijazah_S1_atau_lebih,guru_ijazah_data_kosong,guru_jk_laki_laki,guru_jk_perempuan,tk_status_pns,tk_status_honor,tk_total,tk_ijazah_kurang_dari_S1,tk_ijazah_S1_atau_lebih,tk_ijazah_data_kosong,tk_jk_laki_laki,tk_jk_perempuan,nilai_akreditasi_tahun,nilai_akreditasi_akhir
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4EF29103-3008-427C-BE47-E55B71E0AF46,20328113,SMKS PURNAMA SURAKARTA,"JL. A. YANI SUMBERTAPEN SURAKARTA, Sumber, Kec. Banjarsari, Kota Surakarta Prov. Jawa Tengah",B,Kismanto,SUKIRNO,6,28,1,3,SMK 2013 REV. Teknik Kendaraan Ringan Otomotif,Sehari Penuh/5 hari,False,2023/2024-2,Tidak Ada,PLN,3500,1,6,1,1,1,9.67,4.83,4.83,83.33,33.33,33.33,100.0,2,1,4,2,2,4,1,5,0,3,3,2,2,9,1,7,1,5,4,2021,85
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B6D35C1F-5FE4-4EA7-A6C1-50F36CAE1EEE,69752142,SMKS AL HUSAENIYAH,"JL. RAYA SELAKOPI KM 11 NO 15 Rt 03/04, Lembursawah, Kec. Cicantayan, Kab. Sukabumi Prov. Jawa Barat",B,Saepul Zaman,Bayu Setiawan,13,0,0,0,SMK 2013 REV.  Perbankan Syariah,,True,2023/2024-2,,,,1,0,0,0,0,0.0,0.0,0.0,69.23,23.08,0.0,0.0,0,0,12,3,3,10,0,9,4,7,6,0,3,15,0,10,5,8,7,2023,89
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7637A423-759F-4C1A-A392-4DDCAB0C809D,69725569,SMKS WIRAGUNA LIMBANGAN,"KP. DUNGUSWIRU RT 02 RW 03 , Dunguswiru, Kec. Blubur Limbangan, Kab. Garut Prov. Jawa Barat",B,Neneng Teti Cahyani,Livia Amalia,9,119,101,6,SMK 2013 REV. Multimedia,Pagi/5 hari,False,2023/2024-2,Tidak Ada,PLN,2200,1,3,0,0,1,36.67,73.33,24.44,100.0,0.0,0.0,100.0,0,0,8,2,0,9,0,9,0,1,8,0,4,12,0,11,1,2,10,2023,82
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/54B69E53-C33C-438E-91CE-4FFBA6095935,20576121,SMKN 1 KALIPURO,"Jl. Denpasar No. 17 X, Kalipuro, Kec. Kalipuro, Kab. Banyuwangi Prov. Jawa Timur",B,Suliha,TRI PRASETYO ARRISWANTO,17,106,29,11,SMK 2013 REV.  Nautika Kapal Niaga,Pagi/5 hari,True,2023/2024-2,Tidak Ada,PLN,23000,2,6,1,1,4,12.27,22.5,7.94,82.35,52.94,47.06,100.0,8,2,1,6,9,8,0,14,3,10,7,12,21,36,3,20,13,21,15,2020,
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7E0FC53F-7F35-42D7-BFA8-71293FA7921E,69856221,SMK NEGERI HULU GURUNG,"JL. LINTAS SELATAN, MUBUNG, Kec. Hulu Gurung, Kab. Kapuas Hulu Prov. Kalimantan Barat",B,Suriyanto,"WIDODO SUMARTONO, S.Si",19,100,83,11,SMK 2013 REV. Multimedia,Pagi/6 hari,False,2023/2024-2,Tidak Ada,PLN,2300,3,6,0,0,2,16.64,30.5,9.63,84.21,5.26,10.53,75.0,2,10,0,7,1,18,0,16,3,11,8,3,8,21,0,18,3,12,9,2019,81
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9AD1CB13-A30D-42F6-B178-093132A1B9EC,20539059,SMKS AL IMAN,"RAYA PONOROGO MADIUN KM 05, Babadan, Kec. Babadan, Kab. Ponorogo Prov. Jawa Timur",A,Marjuki,Rage Muklinatus Saadah,11,0,36,3,SMK 2013 REV.  Tata Busana,Pagi/6 hari,False,2023/2024-2,Tidak Ada,PLN,1000,3,3,0,1,1,12.0,12.0,3.27,100.0,0.0,0.0,100.0,0,0,14,0,0,11,0,11,0,3,8,0,0,14,0,12,2,4,10,2021,91
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/045080AD-1069-46D9-A8EE-20577DBEA4E8,69734110,SMKS SUNAN DRAJAT,"JL. SUNAN DRAJAT NO. 09 SUMURAN, Klompangan, Kec. Ajung, Kab. Jember Prov. Jawa Timur",B,Iwan Purnomo,FITRIATUS SAJADAH,9,0,0,0,SMK 2013 REV.  Agribisnis Pengolahan Hasil Pertanian,,True,2023/2024-2,,,,2,0,0,0,0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0,10,0,0,9,0,9,0,4,5,0,1,11,0,11,0,6,5,2018,81
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/14558BBA-A6D3-4156-B5E8-6F06BFBD8B10,10806766,SMKN BLAMBANGAN UMPU,"Jl. Mayjend Ryacudu Km.06 No. 486, Blambangan Umpu, Kec. Blambangan Umpu, Kab. Way Kanan Prov. Lampung",C,Hidayat,NADIRSAH,45,273,223,23,SMK 2013 REV.  Akuntansi dan Keuangan Lembaga,Pagi/5 hari,True,2023/2024-2,Tidak Ada,PLN,23,3,22,1,2,5,21.57,22.55,11.02,88.89,48.89,46.67,100.0,21,2,0,22,22,23,0,40,5,20,25,25,32,59,2,44,13,28,31,2022,79
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A1978B91-7E10-4DBC-B98B-BA4C0EDB21F0,40310807,SMKN 5 SOPPENG,"JALAN POROS SOPPENG - SIDRAP, Tellulimpoe, Kec. Mario Riawa, Kab. Soppeng Prov. Sulawesi Selatan",B,Muliadi,Supriansah,33,137,102,16,SMK 2013 REV.  Perhotelan,Pagi/5 hari,False,2023/2024-2,Tidak Ada,PLN,23000,3,10,0,1,2,14.94,23.9,7.24,93.94,39.39,27.27,62.5,9,11,0,13,13,20,0,31,2,10,23,10,21,42,2,34,6,15,27,2022,81
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2D611C98-7402-44A6-8438-5CBB57B2E31D,69932138,SMK KESEHATAN BAKTI INDONESIA MEDIKA,"JL. RAYA SUMBERGEMPOL NO. 20 DS SUMBERDADI KEC. SUMBERGEMPOL TULUNGAGUNG, Sumberdadi, Kec. Sumbergempol, Kab. Tulungagung Prov. Jawa Timur",C,Choirul Anwar,Yahya Labib Akhmad,13,3,22,7,SMK 2013 REV. Farmasi Klinis dan Komunitas,Pagi/5 hari,False,2023/2024-2,Tidak Ada,PLN,898,1,4,0,0,0,3.57,6.25,1.92,46.15,7.69,0.0,100.0,0,0,10,4,1,12,2,6,5,4,9,0,4,14,2,7,5,5,9,2023,72
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/704147A5-2995-4BC0-9CFD-B0ED425E7206,69752367,SMKS JAMIYATUL AULAD,"JL. EMPANG RAYA NO 1, PALABUHANRATU, Kec. Pelabuhan Ratu, Kab. Sukabumi Prov. Jawa Barat",A,Andriyana,yogi iskandar,23,234,176,14,SMK 2013 REV.  Perbankan dan Keuangan Mikro,Pagi/6 hari,True,2023/2024-2,Tidak Ada,PLN,1400,1,19,0,1,0,29.29,21.58,17.83,73.91,21.74,0.0,100.0,0,0,26,3,5,18,0,17,6,13,10,0,3,29,0,18,11,17,12,2022,92
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E0DF56C1-7B2E-4D66-814E-62DE54F9B319,30204668,SMKN 1 MENTAYA HILIR SELATAN,"JL. TRANS HANDIL SOHOR RT 005 RW 003 DESA HANDIL SOHOR , Handil Sohor, Kec. Mentaya Hilir Selatan, Kab. Kotawaringin Timur Prov. Kalimantan Tengah",C,,RINA SAHARAH,21,97,75,11,SMK 2013 REV.  Agribisnis Pengolahan Hasil Pertanian,Sehari Penuh/5 hari,True,2023/2024-2,Tidak Ada,PLN,8800,1,10,2,1,1,15.64,17.2,8.19,80.95,57.14,57.14,90.91,12,5,0,4,12,9,0,17,4,8,13,13,7,25,0,19,6,9,16,2021,78
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2D248802-1376-4B27-A595-80A4D2D92BC8,69978707,SMK TECHNO PRENEURSHIP MUSLIMAH TUBAN,"Jl. Tuban- Babat Km.01 No. 45 Widengan, Semanding Tuban, Gedongombo, Kec. Semanding, Kab. Tuban Prov. Jawa Timur",B,M. ALI MAHSUN,SA'ADHATUN NAFI'AH,8,3,24,3,SMK 2013 REV.  Otomatisasi dan Tata Kelola Perkantoran,Sehari Penuh/5 hari,False,2023/2024-2,Tidak Ada,PLN,3500,1,3,0,0,3,9.0,9.0,3.38,75.0,0.0,0.0,100.0,0,0,11,0,0,8,0,6,2,5,3,0,0,11,0,6,5,6,5,2019,85
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/608155A2-FE44-41FD-B11D-696EE176ECE6,60103636,SMK Negeri 5 Seram Bagian Timur,"PENDIDIKAN, Kurwara, Kec. Wakate, Kab. Seram Bagian Timur Prov. Maluku",C,Abdul Muthalib Mansur,LA ACO,9,35,30,3,SMK 2013 REV. Agribisnis Tanaman Pangan dan Hortikultura,Pagi/6 hari,False,2023/2024-2,Tidak Ada,PLN & Diesel,1300,3,5,1,0,0,21.67,13.0,7.22,66.67,33.33,33.33,100.0,3,3,0,3,3,6,0,6,3,2,7,4,3,10,0,7,3,3,7,2023,75
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/101BED73-DEBE-41BB-9B9F-8E8E10953C23,20103725,SMKS PARAMITHA JAKARTA,"JL. RAYA KALIMALANG NO.68 CURUG, Pondok Kelapa, Kec. Duren Sawit, Kota Jakarta Timur Prov. D.K.I. Jakarta",A,Kus Tri Dianavera,sukarno,21,123,208,17,SMK Merdeka Desain Komunikasi Visual (K),Sehari Penuh/5 hari,True,2023/2024-2,Tidak Ada,PLN,15000,1,45,0,1,10,19.47,7.36,15.76,85.71,52.38,0.0,100.0,0,0,26,6,11,10,0,18,3,13,8,0,10,36,0,21,15,25,11,2023,93
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2C1B36A2-97D3-4E2D-AB5E-6815F0C997D1,69774547,SMKS JAYABEKA 03,"Jl Kaum Krajan RT002/RW002, Jatibaru, Kec. Jatisari, Kab. Karawang Prov. Jawa Barat",A,Pamuji Adiguna,Moh Hardi Mustofa,31,302,72,12,SMK 2013 REV.  Otomatisasi dan Tata Kelola Perkantoran,Pagi/6 hari,False,2023/2024-2,Tidak Ada,PLN,33600,1,12,0,1,12,31.17,31.17,12.06,77.42,12.9,0.0,100.0,0,3,33,5,4,27,3,24,4,19,12,0,5,41,4,27,10,27,14,2019,89
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/03F5AAFB-F4B4-414F-A0B2-B26253F48001,20320254,SMK MUHAMMADIYAH SUSUKAN,"JL.SRUWEN-KARANGGEDE KM.17, Gentan, Kec. Susukan, Kab. Semarang Prov. Jawa Tengah",B,Heri Santosa,"Wakhid Hasyim, S.PdI",21,247,145,16,SMK 2013 REV.  Tata Busana,Pagi/5 hari,True,2023/2024-2,Tidak Ada,PLN,10,1,16,0,1,2,24.5,24.5,18.67,71.43,38.1,0.0,100.0,0,0,28,2,8,13,0,15,6,13,8,0,3,31,1,17,13,20,11,2022,88
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E36EE8F2-A66B-47BD-8667-595FBF66A7B9,20540109,SMKS YPM 4 TAMAN,"JL. RAYA BRINGIN BENDO NO.1 TAMAN, Bringinbendo, Kec. Taman, Kab. Sidoarjo Prov. Jawa Timur",A,Mohamad Ismunib,RESMAWAN YUWONO,35,845,42,24,SMK 2013 REV. Rekayasa Perangkat Lunak,Double Shift/6 hari,True,2023/2024-2,Tidak Ada,PLN,33000,1,14,0,1,2,36.96,63.36,25.34,91.43,37.14,0.0,100.0,0,0,31,7,13,22,0,32,3,26,9,0,8,39,1,33,5,29,10,2021,92
https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/43C45616-6307-4357-BAC1-85E8E9B88999,70033390,SMK Negeri 2 Kuta Selatan,"Jl. Pura Pengulapan, Ungasan, Kec. Kuta Selatan, Kab. Badung Prov. Bali",,I Made Kondra,Gst Agung Gde Satria Cita Parioda,30,187,163,10,SMK 2013 REV.  Perhotelan,Pagi/5 hari,False,2023/2024-2,Tidak Ada,PLN,5986,1,5,0,0,0,35.0,70.0,11.67,76.67,23.33,6.67,100.0,2,5,1,22,7,23,0,23,7,14,16,3,26,35,0,25,10,17,18,,
