"npsn","naungan","npyp","link"
"10105732","Yayasan Pendidikan Samudra Langsa","AO1621","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=8F824064-6D5A-4FF3-AB71-6D572020633E"
"10105733","Yayasan Pimpinan Wilayah Muhammadiyah (PWM) Prov. Aceh","AK3816","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=4B79E6E6-FE18-E211-9FA9-7962FFAA740A"
"10107104","","",""
"10107105","YAYASAN SUKMA","AD1916","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=0EF8E22D-A1BD-4604-82A8-03475BABB26A"
"10107157","YAYASAN SYAKIRAH","AK3662","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=CAD57697-8F25-4CD5-8C88-C60B9AE61102"
"10107161","YAYASAN SYUKRONIYAH","AK3659","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=2966AAEF-B146-42E4-A5D6-0D231B67D82E"
"10107192","Yayasan Al- Hanafiah Pondok Pesantren Puteri Muslimat","AB5843","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=D2E92D29-E111-42AB-9852-B5030700D654"
"10107271","","-",""
"10107281","Yayasan SMAS TERPADU SEMAYOEN NUSANTARA","AE8104","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=1EC141D2-93A6-49E0-8711-397799277CF2"
"10107310","Yayasan Sekolah Laboratorium Unsyiah","AK3761","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=E43EC046-991D-4693-AFDA-3C527B471B6C"
"10107919","YAYASAN SUKMA","AD1916","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=0EF8E22D-A1BD-4604-82A8-03475BABB26A"
"10107932","YAYASAN SUKMA","AD1916","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=0EF8E22D-A1BD-4604-82A8-03475BABB26A"
