"npsn","naungan","npyp","link"
"20256563","YAYASAN PENDIDIKAN HARAPAN BANGSA (YPHB)","AJ6888","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=D0B908D2-37CE-11E3-A17F-9B19143BD7F2"
"20256565","Yayasan Itikurih Hibarna","AI0971","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=5A87B3DA-482B-11E3-B37B-27A7828C8811"
"20256566","Yayasan Dokter Tisna Sukarna","AA1631","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=6DE54024-1E74-45B9-A514-EF4D28442B8D"
"20256568","YAYASAN PENDIDIKAN KADATUAN PASEH","AA2194","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=FBE1969F-6C71-4E44-8F33-6715360B6A76"
"20256569","Yayasan Pendidikan Al Aitaam Bandung","AD3966","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=1B8A15F3-8ABE-4996-AD92-10A876B5AE72"
"20256573","Yayasan Assalaam Sasakgantung","AA4809","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=DFA75AF5-4E76-4486-9A14-841ECB13EED9"
"20256576","Yayasan Pendidikan H. Sudarto","AN8848","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=B085924B-D5CD-4739-8E34-48ACCDD8B033"
"20256632","Yayasan YPDM Pasundan Bandung","AA4902","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=89AEDDEE-8261-11E3-B8AF-CFAC9E4B322E"
"20256636","Yayasan YPDM Pasundan Bandung","AA4902","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=89AEDDEE-8261-11E3-B8AF-CFAC9E4B322E"
"20256637","YAYASAN PESANTREN ISLAM","AJ6915","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=DAE1D450-494A-11E3-A389-2F998D9F286C"
"20256638","YAYASAN MANGGALA PUTERA","AW8719","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=C94019C0-5A9E-47BE-AAE1-DB7DDA9A39A0"
"20256685","Yayasan Ghoniyul Ulum Subang","AI1680","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=D7F13293-4A9C-4948-9CEF-1240C14BBAF0"
"20257102","Yayasan Thariq Bin Ziyad","AD7508","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=AB790023-FAD4-4841-8067-03D9768AC571"
"20257146","Yayasan Pelita Hati Depok","AL4290","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=7021FCD0-2EAA-468A-9C8D-B73B2551E765"
"20257149","YAYASAN KARYA CIMANGGIS","AW7554","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=0A84FFD0-A728-4DC6-BA8E-1E022BC2E4F6"
"20257154","Yayasan Pendidikan Persatuan Guru Islam Indonesia Bandung","AG6252","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=F24297CC-46C2-11E3-96DE-67677640125E"
"20257237","Yayasan ALGHIFARI KAREES GARUT","AJ7098","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=235041C8-A393-4A90-B4B5-EB92E93FF2F6"
"20257267","Yayasan Aminahusen","AW8959","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=E1042EFF-3214-4690-9F68-F23DE099E30C"
"20257268","YAYASAN AL MANSUR SUKARATU SUCINARAJA","AW9345","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=1E901308-70BE-4557-B4FB-2C91D7851C29"
"20257291","YAYASAN PONDOK PESANTREN TERPADU (YPPT) AS-SHIDDIQIN","AM7909","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=844F0E8C-505A-4524-8389-9A460D16CFAC"
"20257317","Yayasan MIFTAHUL BARIYYAH","AJ7731","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=6CB61D3C-AC90-49F8-8B12-0DBD90554A51"
"20257336","Yayasan YASOPIDA","AJ7681","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=23FD7783-9959-4C2B-81B1-5BEB4E38FDA8"
"20257354","Yayasan Persatuan Perguruan Tamansiswa Cabang Bekasi","AA5430","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=E9DCF4A0-5654-11E3-AF94-57C1941183A4"
"20257422","YAYASAN PENGEMBANGAN LEMBAGA BINAKARYA MANDIRI","AA5514","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=DCBB291C-6E83-4B33-8653-963A5ADA8146"
"20257433","Yayasan Pratama Adi","AL2513","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=A83418E8-80E9-4361-A3EC-F3C3D1E82186"
"20257479","YAYASAN AL MUBAROKAH SENGKONG","AD3381","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=6A987646-D6D0-44FA-B4B4-5F794E008A96"
"20257493","Yayasan AL-FARHAN Kadudampit","AD3109","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=23833E2F-5023-47FD-AE55-3C358E0121D3"
"20257522","Yayasan Bina Umat Al Qomariyah","AA2940","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=334CACE1-ADBC-4158-A102-5345A3C2B773"
"20257548","Yayasan YAKPI","AG5394","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=7C6BF569-1CAF-4638-A83C-0B32C95A2A52"
"20257671","Yayasan AL ASHRIYYAH NURUL IMAN ISLAMIC BOARDING SCHOOL","AA1437","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=C615D64B-3DA1-4CFC-B218-34CED31DFC46"
"20257690","Yayasan PERGURUAN NUSA PUTRA","AG4302","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=5FFDF4CC-DF58-44AB-AE11-856EDC1415BC"
"20257889","Yayasan Pendidikan Islam Al-Qona'ah","AD4200","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=1B1238B3-BF4D-46E1-AA3D-F2939EDD7C7D"
"20258057","Yayasan Pendidikan Putra Indonesia Bekasi","AA4420","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=B0C8CD97-9748-4F86-B267-D9AA50ACBB1C"
"20258059","Yayasan azzainiyyah al mubarokah","AA1722","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=4EE58C99-6ACB-4F69-AC2F-8624252556C2"
"20258064","YAYASAN PENDIDIKAN ISLAM ARRASYID","AA1652","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=020373C3-ED02-4E1D-9401-6B6AA060A9ED"
"20258065","Yayasan DARUSSALAM TANJUNGPURA TASIKMALAYA","AG5120","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=FC46FEC7-251A-4A94-9E09-CEDED676C2ED"
"20258092","Yayasan Cahaya Mutiara","AJ8329","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=68046CE2-70F9-4DC7-B92E-03891548CC05"
"20258119","YAYASAN PENDIDIKAN ISLAM AWALIYAH","AD3013","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=0AB005DC-524D-4569-A39A-761B82B67FC3"
"20258120","Yayasan Perguruan Taman Pelajar Sukabumi","AJ6654","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=4C5AFB90-D563-44B0-B155-DB4FFD334316"
"20258121","Yayasan AL-QUROBA SUKABUMI","AJ6704","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=EF63943C-41E4-4C2E-B340-9A8088BB039F"
"20258122","Yayasan Sinar Islam Gandasoli","AG4398","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=9F4581FC-3D60-11E4-B99B-3740E5770DCA"
"20258132","Yayasan RIYADLUT TAUHID","AA3211","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=939497AE-C3F2-4819-BE84-70755F3F518A"
"20258134","Yayasan PELITA BUNGA BANGSA","AL2539","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=73D90D88-AB60-4482-897D-2284F7C5B8EA"
"20258166","Yayasan Syukron Makmun","AJ8819","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=A58C90A3-7267-4CC4-9464-64E15AA3328F"
"20258190","Yayasan Pendidikam Imam Bonjol Majalengka","AJ7413","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=97D45C7A-B162-43D0-AA11-0D8B1DB30D35"
"20258202","YAYASAN PENDIDIKAN PEMUDA PEMUDI INDONESIA","AD6475","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=B0E18924-EABC-44C7-AF40-A690B533C5FC"
"20258210","","-",""
"20258215","Yayasan Pendidikan Triwijaya","AJ6491","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=E5BF1D6B-A664-4940-9164-186A73C4AEF8"
"20258244","Yayasan Weny Wibawa Bogor","AM7749","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=BB96DE68-873D-4415-8B50-FFDC4E5B9DB3"
"20258257","Yayasan Mahanaim Mulia Indonesia","AA5488","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=B61E24A1-1D26-4E26-B874-2AF74BC1E45B"
"20258299","Yayasan Fathut Ta'alum","AG4923","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=D0E9D77E-3617-4FB5-858D-78D8A1AE1EE2"
"20258318","YAYASAN MAHAD AL QURAN DARUL FURQON","AX3486","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=C64D7CFC-3C54-45BD-A007-D7A7134F0EA5"
"20258335","YAYASAN AR RAHMAN SUKABUMI","AI0782","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=69AE043C-4BF4-11E3-A91C-8FB66E936FBC"
"20258339","YAYASAN AMERTA","AX2086","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=95CB4599-F202-49ED-8102-01757C162894"
"20258348","Yayasan Arrahmaniyah","AJ6481","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=4E892374-6EA0-4DCE-BE5E-BC1B54E6306B"
"20258373","YAYASAN ZAMZAM KURNIA","AD6341","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=AEB3A75C-58D4-11E3-AAB4-BF12BCDC17F2"
"20258391","YAYASAN ISLAM AL-WATHANIYAH","AI1639","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=42EC74C1-C201-4963-837D-ACC115482C4C"
"20258396","Yayasan AS SYIFA AL -KHOERIYYAH","AI1732","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=5B26462F-71E2-4893-ACF5-61554252F708"
"20258413","Yayasan Fatahillah","AA1329","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=F70D6BCE-93F5-44F3-B23F-03AAAF4A281B"
"20258448","","",""
"20258452","Yayasan Sofwatul Qolbi","AJ7960","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=67A2E1EF-9169-4093-9707-07201ACD3E26"
"20258461","Yayasan KARYA INSAN SEJAHTERA BEKASI","AA4442","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=ACBCDBD4-684C-4B14-9882-032EF217A0C8"
"20258499","Yayasan Pembina Pendidikan Karya Pembangunan (YPPKP) Bandung","AJ6905","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=945C81A8-5346-42C2-807D-106B714177AE"
"20258501","Yayasan Nurul Falah Sunyar","AG5683","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=7AF51D38-8E8C-43EA-A4A5-2E68E9F9E516"
"20258502","","-",""
"20258507","YAYASAN PESANTREN YATIM NURUL MUSLIMIN ","AI1878","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=7E35E83F-5B4B-4243-803F-41F34C99FCB4"
"20258509","Yayasan pendidikan islam Al Fathimiyah","AA4374","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=26B56021-FE27-4513-8793-04D1FBD9E378"
"20258510","YAYASAN ASYUNDA HARTASUNA AL HIDAYAH","AX9256","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=394BA11C-E627-4F08-B682-BECFFDADC063"
"20258512","Yayasan Pemberdayaan Masyarakat Bani Adam Samarang","AA2727","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=D8DE4942-4764-406B-B6AF-4AAB449884F1"
"20258513","YAYASAN KHIDMAT ABDILLAH HASANAH","AJ6243","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=D2B423DB-3EC9-4104-95FC-C2F6B2F3AA8C"
"20258514","YAYASAN ABDI KARYA","AJ6083","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=E884160A-4D18-11E3-956A-83D34072D276"
"20258518","Yayasan SIRAJUL FALAH INDONESIA","AA1425","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=D6B612BF-5FA1-434A-BA5B-09B8A840BA0D"
"20258522","YAYASAN PENDIDIKAN MULIA BUANA","AD2893","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=76CFF8E6-5B03-11E3-B663-6BE7FFDD9A12"
"20258552","Yayasan RAUDHATUL ISLAM ATTOHIRIYIAH","AJ6759","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=1E6EF7DD-8404-4802-A30B-DB3231F8F9C1"
"20258556","Yayasan Al-MADINA","AA2073","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=D19C7813-B6FD-499E-9525-96A7ED801464"
"20258557","Yayasan Adhi Guna Kencana Cianjur","AD6959","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=D040B6B1-C5B9-4176-8F52-19B29FB3053E"
"20259573","Yayasan YPAW","AD3708","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=85D00ECF-70AD-4563-A059-3C7BC3FC01BC"
"20259574","Yayasan WAFAUL UMMAH AL HERMANI","AD3611","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=F5B5A960-2F2B-11E4-808A-5BBB9B7830CB"
"20259576","Yayasan Badan Pendidikan Paripurna Indonesia Baleendah","AJ6909","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=8A85384A-7367-4AD0-B60F-7A9EE55B65B8"
"20259581","YAYASAN PENDIDIKAN NURUL SA'ADAH","AG4669","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=A80F45EE-B4A3-416C-A73E-D8692037CC89"
"20259585","Yayasan Pendidikan Hamdaniyah","AG4633","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=9A9B15B7-E4D4-41A1-84D6-35626CDF82C5"
"20259588","Yayasan TRIBAKTI","AM7979","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=23C31289-46CD-440B-9944-A0CB688F946B"
"20259589","Yayasan Pendidikan Cicalengka","AD3783","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=4D07146A-DE35-4524-99EF-24C1B116779C"
"20259590","Yayasan P ' 79","AD3689","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=79C78436-3CD3-48CC-9C1B-DD172F2930B4"
"20259598","Yayasan Pendidikan Generasi Nusantara","AA2236","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=A3EE4BC0-3E03-4D49-AA17-DEACED32916D"
"20262037","","-",""
"20262088","Yayasan Pendidikan Al Hikmah Tarogong Kaler","AG5040","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=FADA74B4-5693-11E3-A54A-E7C68FCA5792"
"20262092","YAYASAN AL-FAUZANIYYAH SUKARESMI","AA2871","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=0D72F70C-3DC1-481F-A9BE-997E0DDBC27C"
"20262098","Yayasan Lembaga Pendidikan Ma'arif Cabang Garut","AI1297","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=38E23D8A-A162-4180-A713-FB78D78E0255"
"20262102","Yayasan Pimpinan Wilayah Muhammadiyah (PWM) Prov. Jawa Barat","AO5349","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=ED70D9A9-79E9-4C61-9F2F-CEE14F125F20"
"20262109","Yayasan Perwakilan YPLP PGRI Kabupaten Garut ","AI1268","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=87637F1F-D03F-4034-AB71-E36595036B5A"
"20262124","Yayasan Bhakti Karya Penunjang Pembangunan Pendidikan","AI1287","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=BB4A8914-B7FD-45CF-93BA-1829E6A37C82"
"20262713","Yayasan Pendidikan Islam Ijtim'ul Ahadiyah","AA2947","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=BE8232CA-2FDF-11E3-A49D-032A38EB2E7A"
"20262717","Yayasan AL MUBAROKAH","AL2957","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=F3DF6B82-7DF4-414F-B35A-244B2CE5588A"
"20262719","Yayasan ADHI GUNA KENCANA","AI2287","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=A05F10DB-5978-4D75-B508-09AB057C253D"
"20262721","Yayasan Pondok Pesantren Nurul Wafa Gunung Hideung","AJ7299","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=76CF5C20-7DAD-4448-A3B2-154E2A27A9F3"
"20262722","Yayasan RIYADHUL ULUM CISEMPUR","AN8473","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=818213C6-55CB-463A-BC95-B2B439C93D53"
"20263274","Yayasan Al-Hasan Banjarsari","AD4812","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=9E2FA40D-D3F7-4AA8-9CE0-1297E1980267"
"20263276","Yayasan MIFTAHUL HUDA CIPAKU","AG5234","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=C3C07C32-607B-4036-BD89-A6D3DAD1B829"
"20263285","Yayasan Al Ihsan Pamarican","AM8328","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=73835940-6B71-42D9-AF8B-4A8F6BED9AE7"
"20263295","Yayasan MIFTAHUL HUDA DUA BAYASARI","AI1420","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=0B7CDC77-090B-4FF8-AE85-FBCE19BEC535"
"20263299","Yayasan YPI MULTAZAM MUHAMMAD YUSUF SYA'RONI (MYS) CIAMIS","AI1428","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=A2E0650F-2360-4B1B-A321-D9D314D1277D"
"20263961","Yayasan ADHI GUNA KENCANA","AI2287","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=A05F10DB-5978-4D75-B508-09AB057C253D"
"20263962","YAYASAN PONDOK PESANTREN AR-RAHMAT","AJ7532","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=06EA58D0-4750-11E3-A5F1-170AD6A9D895"
"20263967","Yayasan Pendidikan Perjuangan Bangsa","AW8350","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=9C1FFA7A-3ED0-43B8-96FA-4C8A21E9C0B2"
"20264426","Yayasan ALWASHLIYAH ","AD5582","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=98CB35D0-EA85-4F30-8F27-8F852F6206B9"
"20264428","Yayasan KH. HARUN RASYID","AD5429","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=929E3FEB-47FE-42F4-8D30-E4429D8AA6A3"
"20264739","YAYASAN PENDIDIKAN DAN SOSIAL (YPSA) AL MUBAROK CISALAK","AJ7668","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=734D3075-FA13-465A-A563-905D54B49A36"
"20265214","YAYASAN PELITA ILMU SANGGABUANA","AM8821","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=74DD1715-7209-4CDC-B1C2-177829FD5D9C"
"20265273","Yayasan LEPPINDO","AM8841","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=9E152DC8-3C1B-402E-837B-D2549EE01853"
"20265274","Yayasan Perguruan Mathla'ul Anwar","AI1877","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=3CC9DB6F-283F-45DF-9772-095CB3D04753"
"20265284","Yayasan Salib Suci","AL3975","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=D816F9E6-BB7D-4C97-B0E7-08BC130038C0"
"20265290","Yayasan Perwakilan YPLP PGRI Provinsi Jawa Barat","AA1655","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=0E1FBCF2-734F-46F3-9C16-1E051AD9E91E"
"20265291","Yayasan Pendidikan Sartika Putri","AL3574","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=0D320B14-1B9F-4939-8B6F-C783B60A8E32"
"20265292","Yayasan Pendidikan Rosma","AM8846","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=1A5D7AD2-F1A3-49E5-AC00-29771F2D5BC7"
"20265293","Yayasan Tarbiyatul Wildan","AD6012","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=0C58C8EF-8A5B-43E6-800B-132388241910"
"20265294","YAYASAN TRI ASYIFA KARAWANG","AD5926","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=62B37E4C-FC63-4FDB-9F14-1D6181A4E56A"
"20265481","YAYASAN BHENIKA EDUCATION BEKASI","AW7756","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=6AB94CF2-7A89-49B9-9241-27AF657E0D38"
"20265517","Yayasan ABDUL QODIR","AI2285","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=13F6C9B9-D71D-4394-9D23-D17BB18E40A4"
"20265518","Yayasan Taqwa Cerdas Kreatif","AA4852","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=35DCB14C-016D-41A5-B336-C93D7C8095C6"
"20265521","Yayasan Perwakilan YPLP PGRI Provinsi Jawa Barat","AA1655","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=0E1FBCF2-734F-46F3-9C16-1E051AD9E91E"
"20265522","Yayasan YPPKP","AM9063","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=D260B9B8-5343-43A2-9854-7DED52AB2704"
"20265523","","",""
"20265524","Yayasan BAKTI MANDIRI BANDUNG","AI2396","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=32AD6D59-CB3B-41D2-B47C-ED5E2836181D"
"20265525","Yayasan Cita Karya Sejati","AG6275","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=1D8D109F-FFDC-4354-BF61-7A9EF6DF608A"
"20265526","Yayasan BPI","AA4872","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=45854B91-F868-442D-86A6-0F0C54BD0A18"
"20265528","","",""
"20265529","Yayasan Chemica Indonesia","AD6943","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=401554D6-6606-408F-97E4-F0132C80C7C5"
"20265530","Yayasan Pendidikan Citra Pembaharuan","AD7823","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=91B6F182-2BFE-4F81-B072-1A61DA8D47C9"
"20265532","Yayasan Lembaga Pendidikan dan Pengetahuan Masyarakat Republik Indonesia","AL3984","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=5E76EA39-AB06-40BA-9CFF-0274C0A1B31F"
"20265533","Yayasan Miftahul Madani","AD6699","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=7AEABC25-61E5-4933-9C74-A2B1F3684CA7"
"20265534","Yayasan Megabrain Indonesia","AI2234","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=926CFC02-4FC2-48F5-BA38-D7B18B9F188F"
"20265536","Yayasan Pimpinan Wilayah Muhammadiyah (PWM) Prov. Jawa Barat","AO5349","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=ED70D9A9-79E9-4C61-9F2F-CEE14F125F20"
"20265537","YAYASAN PENDIDIKAN NASIONAL BANDUNG","AG6268","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=821DE8E0-94F2-4744-8ED7-B26FC28977A1"
"20265538","Yayasan Pendidikan Putra Pajajaran Bandung","AA1643","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=114F027F-DC34-4C79-96D2-23CD538FDB46"
"20265539","Yayasan Pendidikan Puragabaya","AG6314","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=8673A54C-075C-4780-A796-125E154BA03C"
"20265540","Yayasan YPDM Pasundan Bandung","AA4902","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=89AEDDEE-8261-11E3-B8AF-CFAC9E4B322E"
"20265541","Yayasan Al-Ghifari","AJ8335","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=3B66D78F-3AD7-417F-9AE6-F6A511B6121D"
"20265542","Yayasan Pendidikan Putra Pajajaran Bandung","AA1643","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=114F027F-DC34-4C79-96D2-23CD538FDB46"
"20265543","Yayasan Pro Walagri","AG6171","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=380A0B69-6AE9-42DA-BC74-8D501D955C70"
"20265544","Yayasan Pendidikan R.P. Hartoyo","AD7044","https://vervalyayasan.data.kemdikbud.go.id/index.php/Chome/profil?yayasan_id=79DDDC5D-E969-4981-8153-96F978320893"
