NYPY,NPSN,Nama,Jenjang,Kecamatan,Kabupaten,Provinsi,NPYP
AA4972,20219472,SMP KRISTEN 5 BPK PENABUR,SMP,Kec. Andir,Kota Bandung,Prov. Jawa Barat,
AA4972,20219587,SD KRISTEN 5 BPK PENABUR,SD,Kec. Lengkong,Kota Bandung,Prov. Jawa Barat,
AA4972,20219463,SMP KRISTEN 4 BPK PENABUR,SMP,Kec. Lengkong,Kota Bandung,Prov. Jawa Barat,
AA4972,20255004,TK BPK PENABUR,TK,Kec. Lengkong,Kota Bandung,Prov. Jawa Barat,
AW8400,20232307,SMAS AL HUSNA,SMA,Kec. Leuwiliang,Kab. Bogor,Prov. Jawa Barat,
AW8400,20230931,SMP AL HUSNA,SMP,Kec. Leuwiliang,Kab. Bogor,Prov. Jawa Barat,
AW8400,20230620,SD AL HUSNA,SD,Kec. Leuwiliang,Kab. Bogor,Prov. Jawa Barat,
AW8400,69897235,TK AL-HUSNA,TK,Kec. Leuwiliang,Kab. Bogor,Prov. Jawa Barat,
AG7900,69900547,SMK ASSAIDIYYAH 2 KUDUS,SMK,Kec. Mejobo,Kab. Kudus,Prov. Jawa Tengah,
AH1007,69971222,An Nur Fuadi,Pondok Pesantren,Kec. Bangkalan,Kab. Bangkalan,Prov. Jawa Timur,
AH1007,20555416,SMP AN NUR FUADI,SMP,Kec. Bangkalan,Kab. Bangkalan,Prov. Jawa Timur,
AH1007,20555417,SMKS AN NUR FUADI,SMK,Kec. Bangkalan,Kab. Bangkalan,Prov. Jawa Timur,
AF4857,69830118,SMA DARUL HIJRAH PUTRA,SMA,Kec. Martapura,Kab. Banjar,Prov. Kalimantan Selatan,
AF4857,69726478,MAS Darul Hijrah,MA,Kec. Martapura,Kab. Banjar,Prov. Kalimantan Selatan,
AF4857,30305352,SMP DARUL HIJRAH PUTERA,SMP,Kec. Martapura,Kab. Banjar,Prov. Kalimantan Selatan,
AF4857,30315287,MTsS Darul Hijrah Putera,MTs,Kec. Martapura,Kab. Banjar,Prov. Kalimantan Selatan,
AF4857,70031757,SMP TAHFIZH AL-QURAN DARUL HIJRAH 3,SMP,Kec. Martapura,Kab. Banjar,Prov. Kalimantan Selatan,
AK8322,69955147,SMA ISLAM NURUL AS ADIYAH LASSA LASSA,SMA,Kec. Bontolempangan,Kab. Gowa,Prov. Sulawesi Selatan,
AK8322,69941948,SMP ISLAM NURUL AS ADIYAH,SMP,Kec. Bontolempangan,Kab. Gowa,Prov. Sulawesi Selatan,
AN6160,50103391,SMKS PARIWISATA TRISAKTI TAMPAKSIRING,SMK,Kec. Tampaksiring,Kab. Gianyar,Prov. Bali,
AY2814,10205416,SMAS DI PANJAITAN TANJUNG LEIDONG,SMA,Kec. Kualuh Leidong,Kab. Labuhan Batu Utara,Prov. Sumatera Utara,
AY2814,69921697,TK DI PANJAITAN,TK,Kec. Kualuh Leidong,Kab. Labuhan Batu Utara,Prov. Sumatera Utara,
AY2814,10205537,SD D.I PANJAITAN,SD,Kec. Kualuh Leidong,Kab. Labuhan Batu Utara,Prov. Sumatera Utara,
AY2814,10205152,SMP S D. I. PANJAITAN,SMP,Kec. Kualuh Leidong,Kab. Labuhan Batu Utara,Prov. Sumatera Utara,
AG1756,20614043,SMP AT TAKWA CIKEUSAL,SMP,Kec. Cikeusal,Kab. Serang,Prov. Banten,
AG1756,69988882,SMK AT-TAKWA BENDUNGAN,SMK,Kec. Cikeusal,Kab. Serang,Prov. Banten,
AB9600,69983891,SMPS ELHAFIDZIYAH,SMP,Kec. Muara Bulian,Kab. Batang Hari,Prov. Jambi,
AB9600,69985580,SMA ELHAFIDZIYAH,SMA,Kec. Muara Bulian,Kab. Batang Hari,Prov. Jambi,
