"nypy","name","address","pimpinan_yayasan","operator_yayasan","kode_pos","no_pendirian_yayasan","tgl_pendirian_yayasan","num_schools"
"AB7811","Yayasan Pendidikan Dharmawangsa","JL. KL. YOS SUDARSO NO. 224 MEDAN, Glugur Kota, Kec. Medan Barat, Kota Medan Prov. Sumatera Utara","H. Muzakir, SE","SUYOTO","20115","28","21 Aug 1985","1"
"AE9512","YAYASAN PENDIDIKAN SEKOLAH BANGUN INSAN MANDIRI","JL. BAMBU II NO. 62, DURIAN, Kec. Medan Timur, Kota Medan Prov. Sumatera Utara","Anwar Sutanto, S.T.","John Martin Sinaga","20235","421.3/1152/DIS PM PPTSP/6/XVII.1/XII/2017","14 Dec 2017","1"
"AL2272","Yayasan Nurul Manshuriyah Pamatutan","Jl. Raya Kalapanunggal Km.7, Sundawenang, Kec. Parungkuda, Kab. Sukabumi Prov. Jawa Barat","H. Syarief Hussein","Muhammad Usep Saepudin","43357","75","30 Nov 2010","1"
"AI3709","YAYASAN GLOBAL MITRA INSANI","Jalan D I Panjaitan No 66, Purwodadi, Kec. Purwodadi, Kab. Grobogan Prov. Jawa Tengah","Dimas Suryaning Hapsara","CANDRA IRAWAN","58111","","11 Apr 2018","3"
"AB0892","YAYASAN WALISONGO KEDUNGMALING","JL. BARAT PASAR BRANGKAL NO. 460, KEDUNGMALING, Kec. Sooko, Kab. Mojokerto Prov. Jawa Timur","H. BAHDRUS SHOLEH","Lubna Nachla","61361","33","29 Jan 1999","6"
"AI9342","Pendidikan Korpri Duri","Jl. H. Abdul Manan No. 07, Tambusai Batang Dui, Kec. Mandau, Kab. Bengkalis Prov. Riau","Yahya Tawaf, BA","ENDANG AGUSTIN","28784","02","24 Nov 1988","1"
"AC2553","LEMBAGA PENDIDKAN DAN PELAYANAN KALVARI",", SIANTAN HULU, Kec. Pontianak Utara, Kota Pontianak Prov. Kalimantan Barat","MANSUR SAMIN, STh MA","SELVIANTO","","02/LPP-K/XII/2007","01 Feb 2007","1"
"AL2228","NURUL HIKMAH TAMANJAYA CIEMAS","Kp. Tamanjaya, -, Kec. Ciemas, Kab. Sukabumi Prov. Jawa Barat","AGUS NASRULLAH,S.Pd.M.Pd","YONI MARTIN","43177","3","26 Aug 2010","11"
"AM9310","YAYASAN PENDIDIKAN NASIONAL","Sentosa Raya No. 2 Depok II Tengah, Mekarjaya, Kec. Sukmajaya, Kota Depok Prov. Jawa Barat","H. Maris Rinaldi, M.Si","Indah Fajarsari","16411","0469/I02.4/R.84","30 Mar 1984","1"
"AA6414","Perwakilan YPLP PGRI Kabupaten Kebumen","Jl.Kaswari No. 32 Kebumen, -, Kec. Kebumen, Kab. Kebumen Prov. Jawa Tengah","Drs. H. Dambang Widadi","UMI HARTI","54311","AHU-9053.AH.01.04","30 Dec 2011","104"
"AI1647","AL SHIGHOR","PONPES GEDONGAN DS. ENDER KEC. PANGENAN KAB.CIREBON, -, Kec. Pangenan, Kab. Cirebon Prov. Jawa Barat","Drs. H. BISYRI IMAM, M.Ag","Usep Saefullah","45182","120","05 May 2007","2"
