"nypy","name","address","pimpinan_yayasan","operator_yayasan","kode_pos","no_pendirian_yayasan","tgl_pendirian_yayasan","num_schools"
"AL6110","YLPP -17 Surakarta","JLN R.M. SAID NO 111, Punggawan, Kec. Banjarsari, Kota Surakarta Prov. Jawa Tengah","Wibowo Tri Yjulianto","Suyardinah","57132","297","10 Feb 1982","1"
"AG5941","Yayasan Rukandi Sejahtera","Perum. Taman Cikarang Indah 2 Blok E12 No.12, -, Kec. Cikarang Selatan, Kab. Bekasi Prov. Jawa Barat","Agung Saepul Rohmat","Januar Sidik Rukandi","17550","07.","30 Nov 2018","1"
"AD4221","Darussalam Assyukroniyah Ciparay Cikajang","Kp. Ciparay, -, Kec. Cikajang, Kab. Garut Prov. Jawa Barat","Dindin Mauludin, S.Pd.I, MM.","Yogi Abdul Roup","44171","AHU-0004320.AH.01.04.Tahun 2020","03 Mar 2020","3"
"AH9661","YAPMA SULBAR","Jl. POROS MAMUJU-TAPALANG, SALLETTO, Kec. Simboro, Kab. Mamuju Prov. Sulawesi Barat","Ir. MUHAMMAD THALIB, M.Pd","Jumurah","91512","-46-","26 Jan 2016","1"
"AE9636","PERGURUAN F. TANDEAN TEBING TINGGI","JL. SUTOMO TEBING TINGGI, -, Kec. Tebing Tinggi Kota, Kota Tebing Tinggi Prov. Sumatera Utara","ELLY INDRAWATY","IKA NILAM SARI","20632","832/Sospol-TPPA.TT/VII/85","11 Jul 1985","4"
"AG3045","NURUL FADHILLAH","jl. cikditiro kompleks pemda, BINANGA, Kec. Mamuju, Kab. Mamuju Prov. Sulawesi Barat","HJ.SALMA ANDI ARA","ANDI KAMAL M. SALLO","91515","","09 Sep 2014","1"
"AD1951","Asti Dharma","Jl. Rahayu No.22, -, Kec. Grogol Petamburan, Kota Jakarta Barat Prov. D.K.I. Jakarta","Sr. M. Angeline Giasih PBHK","andreas budiarto","11460","11","07 Sep 1957","25"
"AN1911","AL - ASROR","Jl. Taman Sari, Ambat, Kec. Tlanakan, Kab. Pamekasan Prov. Jawa Timur","KH. AS'AD ABDULLAH","MOH SHALEHODDIN","69371","39","22 Oct 2015","2"
"AF7343","YAYASAN PENDIDIKAN SARI BUANA Makassar","JL. PELITA RAYA NO. 2B, Ballaparang, Kec. Panakukkang, Kota Makassar Prov. Sulawesi Selatan","MARLINA ARIFIN, SE","EVA YUNITA","90221","064","20 Jun 2014","2"
"AJ4799","YPI. ALFA SANAH","Anamui, Suradita, Kec. Cisauk, Kab. Tangerang Prov. Banten","H.M.FURQON, S.Ag","SUHENDAR","","21","23 Feb 1998","2"
"AA1975","YPI AL-ISTIQOMAH","KP,Ciheulang,Desa Langensari, Langensari, Kec. Karang Tengah, Kab. Cianjur Prov. Jawa Barat","K.H.M.Apipuddin Mughni S.Pd.I","encep zenal aripin, S.Pd.I","43281","","15 Nov 2015","1"
"AB9892","PONPES AL-INAYAH","JL LESMANA, PERINTIS, Kec. Rimbo Bujang, Kab. Tebo Prov. Jambi","KH M RIFAI ABDULLAH, S.Pd.I","Alpian Candra Romadan","37253","12/10/2002","12 Oct 2002","2"
"AX5266","Yayasan Pendidikan Beringin","Gondangwinangun, -, Kec. Jogonalan, Kab. Klaten Prov. Jawa Tengah","Suwito, S.Ag","Listyanti","57452","57","10 Mar 2016","1"
"AL1528","Yayasan Nitya Bhakti","Jl.Ir.H.Juanda No.29, -, Kec. Gambir, Kota Jakarta Pusat Prov. D.K.I. Jakarta","Sr. KORINA NGOE, OSU.M.Pd","Hasudungan Siburian","10120","043","10 Jan 1952","5"
"AM0027","YAYASAN AMAL-MAS SUMATERA UTARA","HELEZALULU, BAWO'OTALUA, Kec. Lahusa, Kab. Nias Selatan Prov. Sumatera Utara","SAMAHATO BUULOLO","ANSELMUS PERDAMAIAN BUULOLO","22874","","25 Apr 2005","2"
"AC1641","YAYASAN PONDOK PESANTREN HIDAYATUL QUR'AN","Jln. Ki Ageng Joro Rekso No.01, TelukDalem, Kec. Mataram Baru, Kab. Lampung Timur Prov. Lampung","FIRDAUS AL MUSTOFA","ARIF MUHAMMAD HASAN","34199","24","21 Jul 2015","2"
"AW8264","Yayasan Dharma Setia Kosgoro","Jalan Pajajaran No. 217 A, -, Kec. Kota Bogor Utara, Kota Bogor Prov. Jawa Barat","Dr. H. Widiyanto Dwi Surya, M.Sc., Ketua Pengurus","Nuni Nur Arfah","16153","1","09 Sep 1987","3"
"AL6731","Pendidikan Budi Utomo","pandokan, kedungsugo, Kec. Prambon, Kab. Sidoarjo Prov. Jawa Timur","Dwi Fajar Suryana","CATUR HIMAWAN SUBAGIO","61264","NO 47 TAHUN 1971","21 Sep 1971","4"
"AA4560","Yayasan Perguruan Islam Al Mamur","Jln. HOS. Cokroaminoto No, Kali Jaya, Kec. Cikarang Barat, Kab. Bekasi Prov. Jawa Barat","H.Cecep Maskanul Hakim,M.Ec","MASPURO","17530","14","21 Nov 2013","1"
"AD5827","SUKA HATI KUSUMA BANGSA","JL. RAYA KOSAMBI TELAGASARI KM. 3, CIBALONGSARI, Kec. Klari, Kab. Karawang Prov. Jawa Barat","YANTI ROSMIYANTI","Saleh Purnama, S.Pd., MM","41371","","","3"
"AD7951","LP Ma'arif NU",", Tawang, Kec. Tawang, Kota Tasikmalaya Prov. Jawa Barat","Asep Robidin, S.Ag","Aceng Rudianto, S.Pd.I","","","20 Aug 2014","1"
"AW8759","YAYASAN EL-BANTANY","Komplek dalung, -, Kec. Cipocok Jaya, Kota Serang Prov. Banten","H.MUHAMMAD SODIQIN,M.SI","Munawir","42111","20","28 Dec 2015","3"
"AE4269","al-qodir","Jl. Pangeran Diponegoro, Drenges, Kec. Kertosono, Kab. Nganjuk Prov. Jawa Timur","Ky. Abdul Ghofur","Muhmmad Nur Subiantoro","64351","20","11 Apr 2008","2"
"AE5312","Darul Jannah","Gununganyar, Gununganyar, Kec. Tapen, Kab. Bondowoso Prov. Jawa Timur","Kh. Taufiq Umar","MUHAMMAD DIKY APRILI ANWAR, S.Pd","68283","25856588655454","14 Feb 2005","3"
"AD7461","Yayasan Asasi Indonesia","Jl. Pejuang IV Blok B No.30 Perum. Pejuang Jaya, -, Kec. Medan Satria, Kota Bekasi Prov. Jawa Barat","DR.H.Miswar Nur M.Pd","TRI SUSANTI","17131","425","25 Jun 2014","9"
"AC7208","Darun Nadwah Nahdlatul Wathan","Jl. Wirabakti Narmada, Narmada, Kec. Narmada, Kab. Lombok Barat Prov. Nusa Tenggara Barat","Drs. H.M. Syukran","Ahmad Mustari","83371","98","24 Oct 2007","1"
"AG4529","Yayasan Pendidikan Islam Tauhidul Afkar","Jl. Hanjawar - Pacet - Mariwati Kp. Cibadak Girang, -, Kec. Pacet, Kab. Cianjur Prov. Jawa Barat","SIHABUDIN, S.Pd.I","Muhammad Sholehuddin, S.Pd","43253","1","23 Oct 2002","1"
"AN8476","Bina Insan Mandiri Karangmekar","Kp.Karangmekar, Hegarwangi, Kec. Bantarkalong, Kab. Tasikmalaya Prov. Jawa Barat","U.Mulyana","ANJAR KUSUMA PUTRA","46187","333","03 Jul 2011","3"
"AC3973","Perwakilan YPLP PGRI Provinsi Kalimantan Timur","SMK TI PRATAMA . Komp Pelita 3. Jl. Kemakmuran No.5. RT.43., -, Kec. Sungai Pinang, Kota Samarinda Prov. Kalimantan Timur","Dra.Hj. Endang Sri Rumiyati, MM","MAHADIR MUHAMMAD","75242","47","23 Mar 2018","5"
"AO3420","PENDIDIKAN GOTONG ROYONG KALIMANTAN TIMUR","Jl.Marsda A. Saleh Samarinda Ilir, SIDOMULYO, Kec. Samarinda Ilir, Kota Samarinda Prov. Kalimantan Timur","HM. ASLI AMIN","Zainal Arifin, S.PdI","75116","40","23 Mar 2007","2"
"AG6325","PASIM AL-FATH","PERUM GADING KENCANA ASRI BLOK G, KARANG TENGAH, Kec. Gunung Puyuh, Kota Sukabumi Prov. Jawa Barat","DRS FAJAR LAKSANA SE CQM MM","Sandi Nugraha","","","28 Feb 2016","1"
"AG8598","Yayasan Abul Yatama","Jalan Durian Selatan I No. 6, -, Kec. Banyumanik, Kota Semarang Prov. Jawa Tengah","Umar Toha","Muhamad Surono, S.Sos.","50263","182","27 Jun 1984","7"
"AO2336","BABUSSALAM","JL.RAYA BUKIT SULIGI NO.143, DAYO, Kec. Tandun, Kab. Rokan Hulu Prov. Riau","KY. SYUHADA RM","YOHAN RIYANTO","28554","64","19 Sep 2001","2"
"AH3441","YAYASAN KERINCI CITRA KASIH","KOMP. PT. RAPP PKL. KERINCI, PANGKALAN KERINCI TIMUR, Kec. Pangkalan Kerinci, Kab. Pelalawan Prov. Riau","JANSEN YUDIANTO","Muhammad Riki Andriawan","28300","34-","08 May 2008","18"
"AL3228","Yayasan Pendidikan Islam An Nuur Pasaleman","Jl. Raya Utara No. 2, Pasaleman, Kec. Pasaleman, Kab. Cirebon Prov. Jawa Barat","H. Usman Santosos","SRI RESTU KURNIASIH","45187","","17 Jan 2012","3"
"AC6610","Yayasan Asti Dharma Maluku","Jl. D. Dumatubun -  Langgur Maluku Tenggara, -, Kec. Kei Kecil, Kab. Maluku Tenggara Prov. Maluku","Sr. M. CHRISTIANA BATMYANIK,PBHK","MARTINUS OHOILEDJAAN","97611","No 14","16 Jul 1986","14"
"AA2158","YAYASAN PENDIDIKAN TERPADU BANDUNG","Jln. Oma Anggawisastra No. 139 , -, Kec. Ibun, Kab. Bandung Prov. Jawa Barat","Drs. H. SAEPUDIN DJAJARACHMAT","Rokky Yogaswara","40384","21","24 Nov 2015","3"
"AX3415","YAYASAN PENDIDIKAN BHAKTI NEGARA","Jalan Pembangunan No. 1, -, Kec. Poleang Tenggara, Kab. Bombana Prov. Sulawesi Tenggara","A. HUSNI","JUSMAEDA","93773","- 03 -","06 Jan 2021","1"
"AE6673","YAYASAN PENDIDIKAN DAMAR AJI (YPDAJ)","Jl. Pandugo Baru XII T-42, -, Kec. Rungkut, Kota Surabaya Prov. Jawa Timur","SARWI SARI,B.Sc.","ASMAUL KHUSNAH","60297","46","09 Jun 1981","1"
"AI8632","YAYASAN PERGURUAN LETJEN S. PARMAN MEDAN","Jl. Wahidin No. 170 Medan, PANDAU HULU II, Kec. Medan Area, Kota Medan Prov. Sumatera Utara","JUSTIN TIANUSA","Elizabeth Simanjuntak","20211","35","16 Dec 1986","1"
"AN1499","Yayasan Citra Indonesia Unggul","Jl. Lapangan Durenan No. 01, Pandean, Kec. Durenan, Kab. Trenggalek Prov. Jawa Timur","Dyah Wisudaningrum","Dina Nurohmah","66381","AHU-7098.AH.01.04.Tahun 2012","08 Nov 2012","2"
"AB2291","YAYASAN AL- AHYAD","JL. RAYA PESANTREN KUNIR, KUNIR, Kec. Wonodadi, Kab. Blitar Prov. Jawa Timur","KH. MASDA'IN RIFA'I AHYAD","MOH SOMHUDI","66155","101","27 Jun 1996","2"
"AO4188","YAYASAN ISLAM NURUL HUDA NW EMBUR","JL.PRINGGABAYA LB.LOMBOK, PRINGGABAYA, Kec. Pringgabaya, Kab. Lombok Timur Prov. Nusa Tenggara Barat","USTAZH MUH.HUSNI MUBAROK QH., M.Pd.I","DENI SULISTIAWAN","83654","0000","29 Jun 2015","2"
"AC1894","YAYASAN PENDIDIKAN PANJANG LAMPUNG","JL. SOEKARNO-HATTA BARUNA RIA PANJANG, KARANG MARITIM, Kec. Panjang, Kota Bandar Lampung Prov. Lampung","Hi. DEDY AGUSRIADI,SE","LAY RINCE MARDA","35243","1340/I.12.B1/U/1990","21 Dec 1990","3"
"AI8122","Yayasan Perguruan BINAGUNA","Jln Kompleks Sekolah Swasta, Balimbingan, Kec. Tanah Jawa, Kab. Simalungun Prov. Sumatera Utara","Ir. Truly Antho Sinaga, S.Pd","MUHAMMAD AFRIZA","21181","37","15 Mar 1983","3"
"AO4805","Nurul Anshor Cirarab","Jl.Kp.Cirarab, Cirarab, Kec. Legok, Kab. Tangerang Prov. Banten","KH.Iyad Nuryadi","MOCHAMAD AMINULLOH","18520","","04 Sep 2014","1"
"AH9861","Yayasan Pendidikan Kristen Saint John","Jl. Bungur Besar No.82A - 84, -, Kec. Kemayoran, Kota Jakarta Pusat Prov. D.K.I. Jakarta","Wahidin","Berliana Febriani S","10610","012","07 Feb 2014","9"
"AA6410","Yayasan Pendidikan Mukti Karya","Jalan Lingkar Selatan Km. 06, Muktisari, Kec. Kebumen, Kab. Kebumen Prov. Jawa Tengah","Priyanto,M.Si","Eka Fitrianingsih","54311","75","18 Sep 2012","1"
"AM4911","YAY. WIDYA DHARMA SHANTI","Jl. Raya Puputan No. 86, Dangin Puri Klod, Kec. Denpasar Timur, Kota Denpasar Prov. Bali","Drs. Ida bagus Dharmadiaksa., M.Si., Ak.","","","63","07 Feb 2012","1"
"AJ8233","ATIKAN RAHAYU IHSANI","DUSUN KARANGANYAR, CIGUGUR, KEC. CIGUGUR, Kab. Pangandaran Prov. Jawa Barat","HJ. DASIH, S.Pd., MM.","AGUNG SURYA PRATAMA","46392","AHU-0006611.AH.01.04.2015","04 May 2015","1"
"AE6516","YPS Matholi'ul Anwar Sembilangan","Jl Kraton Sembilangan, -, Kec. Bangkalan, Kab. Bangkalan Prov. Jawa Timur","Mudoffar Muhammad","PUTRI RAHAYUNINGTYAS, S.Pd","69116","12","30 Dec 2014","3"
"AM4867","Yayasan Pendidikan Bali Global Denpasar","Jl. Tibungsari, Dalung, Kec. Kuta Utara, Kab. Badung Prov. Bali","Drs. I Made Subadi, M.Si","Putu Ade Pranata","80000","020/Y/PBGB/V/2016","02 May 2016","1"
"AD6816","Yayasan Indonesia Juara","Jl Rajamantri Kidul No 7, -, Kec. Lengkong, Kota Bandung Prov. Jawa Barat","Muhammad Sobirin","Yeti Hertati","40264","29","16 Jun 2009","16"
"AB6279","Yayasan Pendidikan Katolik BETLEHEM","Jl. Jamin Ginting Km 47 Bandar Baru, -, Kec. Sibolangit, Kab. Deli Serdang Prov. Sumatera Utara","YONAS UDAYA","PAYONG SEMBIRING,S.Pd","20357","18","31 Jul 2002","6"
"AW9710","NURYASIN AL ANWAR INDONESIA","Desa Sidomoro Kec. Buluspesantren Kab. Kebumen, -, Kec. Buluspesantren, Kab. Kebumen Prov. Jawa Tengah","Lukman Hakim, S.Pd","Laelatul Azizah","54391","03","06 Apr 2020","1"
"AJ7228","YAYASAN AL-MUKHTAR PADAKARIA","Jl. Padakaria, LINGGASIRNA, Kec. Sariwangi, Kab. Tasikmalaya Prov. Jawa Barat","KH. II ABDUL HAQ","Dede Zakariya, S.Pd","46465","N0. 2","01 Jul 1989","2"
"AY3933","YAYASAN PANUNJUNG TARUNG SAMPIT","Jl. Jend. Sudirman Km 2.7, -, Kec. Mentawa Baru Ketapang, Kab. Kotawaringin Timur Prov. Kalimantan Tengah","Drs. CALON, MPd","AGUS SANANG","74313","57","09 Aug 2019","1"
"AH6211","Yayasan Pendidikan Lokon","Jl. Perlombaan Nomor. 99, Kakaskasen Dua, Kecamatan Tomohon Utara, Kota Tomohon, -, Kec. Tomohon Utara, Kota Tomohon Prov. Sulawesi Utara","Daniel Korompis, Ph.D","Augnito Hermanus Moningka","95416","11","22 Jul 2013","4"
"AE7233","MKGR WISNUWARDHANA","Jl. Kendalsari 8, Jatimulyo, Kec. Lowokwaru, Kota Malang Prov. Jawa Timur","Prof. Dr. H. Suko Wiyono, SH,MH","Rita Setya Dewi","","18","10 Apr 1985","2"
"AA4664","Yayasan Al-Zuaeni","Jln PLTA Saguling KM 02 Sarongge, Mekarsari, Kec. Cipongkor, Kab. Bandung Barat Prov. Jawa Barat","Rahman Hakim","Hermanto","40564","5","12 Dec 2006","1"
"AD2969","YAYASAN HUNAFA","JL. H. Miing No. 239 Desa Karihkil Kecamatan Ciseeng-Bogor, KARIHKIL, Kec. Ciseeng, Kab. Bogor Prov. Jawa Barat","DR. KH. Arief Rachman Badrudin, MM","Yudi Ari Susanto, S.Kom","16120","30","28 May 2008","1"
"AD4681","Al-Kautsar Tenjonegara","Kp.Tataru, Tenjonegara, Kec. Cigalontang, Kab. Tasikmalaya Prov. Jawa Barat","Ajat Sudrajat","HUSNI MUBAROK","46463","301","02 Feb 2016","1"
"AJ4432","Yayasan Cinta Damai","Kawasi, Kawasi, Kec. Obi, Kab. Halmahera Selatan Prov. Maluku Utara","Obet Siar.S.Th.M.Pd.K","","97792","","","1"
"AK6041","Yayasan Pendidikan Ma'arif","depati agung, sumber agung, Kec. Buay Madang, Kab. Ogan Komering Ulu Timur Prov. Sumatera Selatan","H.SUTRISNO,M.Pd.I","MUHAMMAD ANWAR RUBAI","32161","01","01 Apr 1987","3"
"AG5440","ASSALAFIYYAH DARURROHMAH","Jl. Pesantren No. 32, -, Kec. Susukan Lebak, Kab. Cirebon Prov. Jawa Barat","DRS. KH. FATHURROHIM","Muhamad Samad","45185","AHU-7084.AH.01.04","26 Mar 2008","1"
"AN7483","YAYASAN ASSA'ADAH","Komp. Puri Serpong I Blok C, Setu, Kec. Setu, Kota Tangerang Selatan Prov. Banten","Abah K. Ahmad Ghozali","Khaerul Fuad","15314","3","18 Dec 2003","1"
"AF3697","PKMI IMMANUEL","JL. DR SUSILO NO. 6, SUMUR BATU, Kec. Teluk Betung Utara, Kota Bandar Lampung Prov. Lampung","Timbul Suwarno, M.Pd","YAN ABIMANYU MINTOROGO","35214","A.11.2229.I.12/T/1986","09 Mar 1972","4"
"AN8965","Pondok Pesantren Sirojul Huda","Jl. Baranangsiang Indah Kp. Cikeas, Katulampa, Kec. Kota Bogor Timur, Kota Bogor Prov. Jawa Barat","DR. KH. Mahsunul Alim, MM.","Muhammad Fahmi Fauzan Ihsan","16143","10/01/1990","10 Jan 1990","2"
"AL3240","YAYASAN KHAIRA UMMAH INDONESIA MANDIRI","Jl.Letjen s Parman, Pabuaran, Kec. Pabuaran, Kab. Cirebon Prov. Jawa Barat","Prof. Dr. Hj. Dewi Laelatul Badriah, M.Kes, AIFO","EEM SANTOSO","45188","62","27 Dec 2010","1"
"AD4230","YAYASAN NURUL IHSAN BANJARWANGI","Kp. Warubengkung, Kadongdong, Kec. Banjarwangi, Kab. Garut Prov. Jawa Barat","IKHSAN NULHAKIM, S.Pd","MUHAMAD ABDUL HOLIK","44172","57","23 Oct 2015","1"
"AI8540","YAYASAN PENDIDIKAN RUHUL ANSHOR","DUSUN BUNUT PEKAN, -, Kec. Torgamba, Kab. Labuhan Batu Selatan Prov. Sumatera Utara","KH. YUNUS NASUTION","NURAJIJAH NASUTION","21572","126","18 Apr 2016","2"
"AO5135","YAYASAN KORONA","Jl. Swapen Perkebunan, -, Kec. Manokwari Barat, Kab. Manokwari Prov. Papua Barat","ROBERTH K. HAMMAR","Yohanes Maria Fianey Pati Lewar","98311","108","31 Oct 2016","1"
"AL7724","DARUL HIKMAH","JALAN JENDRAL SUDIRMAN, DRUJU, Kec. Sumber Manjing Wetan, Kab. Malang Prov. Jawa Timur","SULAIMAN FADLI","MUHAMMAD YASIN, S.Pd.I.","65176","24","14 Nov 2000","1"
"AH9813","Pimpinan Wilayah Muhammadiyah (PWM) Prov. Kalimantan Utara","Yos Sudarso, -, Kec. Tarakan Timur, Kota Tarakan Prov. Kalimantan Utara","H. Syamsi Sarman, S.Pd.","AMIRUDDIN","77126","-","18 Nov 1912","4"
"AD7119","Tunas Bangsa Sejahtera Bogor","Jl. Raya Cifor No. 60 Batuhulung, Bubulak, Kec. Kota Bogor Barat, Kota Bogor Prov. Jawa Barat","Sugiyati, S.Pd.","Muhammad Rizqi","16115","20271922","20 Nov 2009","1"
"AA9624","YPKPI ISLAMIC CENTRE BAITURRAHMAN JAWA TENGAH","Jl. Pandanaran No 126 Semarang, Pekunden, Kec. Semarang Tengah, Kota Semarang Prov. Jawa Tengah","H. IMAM SYAFI'I, SE. MM. MH","Vulat Ariyanto","","15","15 Dec 2006","6"
"AD5549","Al Washliyah Anjatan","Jl. A. Yani, Anjatan Utara, Kec. Anjatan, Kab. Indramayu Prov. Jawa Barat","H. Sofwan Hidayat","Muhamad Toha","45256","0","17 Feb 2016","1"
"AN7843","Yayasan Era Pembangunan Jaya","Jl. Gaga Alastua No. 122, -, Kec. Kali Deres, Kota Jakarta Barat Prov. D.K.I. Jakarta","H.Abdul Kirom","Fikry Ramadani","11850","14","08 Feb 2013","3"
"AM5446","Yayasan Nusa Jaya Kefamenanu","Jl. Eltari, -, Kec. Kota Kefamenanu, Kab. Timor Tengah Utara Prov. Nusa Tenggara Timur","Katharina Delyana B. C. Da Silva","Agustina Suryani Mau","85611","06","12 Nov 2013","2"
"AF5336","Yayasan Bethel Indonesia","Kubis Ujung, Mentaos, Kec. Banjarbaru Utara, Kota Banjarbaru Prov. Kalimantan Selatan","Herwing Ugui, M.Th","Ria Handayani","70711","26/1977","09 Jun 1977","1"
"AM5803","YAYASAN PESAT NABIRE","Jl. Ch. Martha Tiahahu - Kalibobo, -, Kec. Nabire, Kab. Nabire Prov. Papua Tengah","Ev. Eliezer Edo Odo","GALUH PRIA UTAMA","98818","03/2000","12 Jul 2000","16"
"AW9818","YAYASAN NURUL UMMAH PEKALONGAN","DK. KAUMAN, RT/RW 01/01, DS. SAWANGAN, KEC. PANINGGARAN, KAB. PEKALONGAN, -, Kec. Paninggaran, Kab. Pekalongan Prov. Jawa Tengah","NURUDDIN","SLAMET KHAIRUDIN","51164","CT-1031-HT.03.01-TH 2002","02 Sep 2005","1"
"AC4471","YAYASAN BANGUN WAYA MANADO","Jln.Yos Sudarso V No.33B, Paal Dua, Kec. Paal Dua, Kota Manado Prov. Sulawesi Utara","Drs.Robbi Walalangi","","95129","024/SMK-P/S/Ket/MDO/2015","07 Dec 2015","1"
"AN0564","Yayasan Karya Abadi Sejati","Jl. Taman Progo No. 15, -, Kec. Semarang Timur, Kota Semarang Prov. Jawa Tengah","Ir. Sahid Yogasari, MM","PHARWOSO","50122","0019/I/4.P/78","01 Apr 1978","2"
"AL0574","YAYASAN AL HUSNA KADUAGUNG","JL. KH. ABDUL WAHID, -, Kec. Tiga raksa, Kab. Tangerang Prov. Banten","Hj. TUTI WAHYUNINGSIH","QANITAH DZAKIYYAH PARIZ","15720","12","09 Sep 2016","1"
"AL1858","Yayasan Pendidikan Harapan Pusat","Jln. I Gusti Ngurah Rai No. 36, Penggilingan, Kec. Cakung, Kota Jakarta Timur Prov. D.K.I. Jakarta","Hj. Asma","Rokib","13940","86","21 Dec 2011","2"
"AI9191","Pendidikan Millenium Sainstek Sumatera Barat",", Parupuk Tabing, Kec. Koto Tangah, Kota Padang Prov. Sumatera Barat","Dr. R. Chandra, M.Pd","Rona Annisa Delfyanti","","-","20 Jun 2014","1"
"AL8248","YAYASAN PONDOK PESANTREN AL-FALAH","JALAN KH. MOH. SYAMSUL ARIFIN NO. 01, -, Kec. Silo, Kab. Jember Prov. Jawa Timur","Drs. KH. ABDUL MUQIT ARIEF","Ahmad Baidawi","68184","01","02 Nov 2015","2"
"AK3586","'BINA GENERASI BANGSA","Dr.Sutomo, suak indrapuri, Kec. Johan Pahlawan, Kab. Aceh Barat Prov. Aceh","Zulkarnaini,S.Pd","","23615","98","09 May 2006","1"
"AM0806","YAYASAN PENDIDIKAN SISWA MINANGKABAU","Jl.DR.A.RIVAI.NO. 17, -, Kec. Guguk Panjang, Kota Bukittinggi Prov. Sumatera Barat","Drs.H.ZULKIFLI JOHNEVA, SH.MM","Drs. H. Muslim, MM","26115","C-353.HT.01.02.TH 2005","18 Mar 2005","2"
"AJ6628","Bina Dharma","JL. Cimelati Raya KM 1, Tenjo ayu, Kec. Cicurug, Kab. Sukabumi Prov. Jawa Barat","Budi Mulya BH.ck","Andi Maulana","43359","873","16 Sep 1996","1"
"AG8271","Yayasan Prima","Jl. Raya Kesesi-Sragi, -, Kec. Kesesi, Kab. Pekalongan Prov. Jawa Tengah","Niken Tiarasari","SUWARNO","51162","01","08 Sep 2008","2"
"AB3698","YAYASAN SEKOLAH MENENGAH KEJURUAN ASSALAM","Jalan Gerilya No. 21, Karangbayat, Kec. Sumberbaru, Kab. Jember Prov. Jawa Timur","LUQMANUL HAKIM","Agus Tri Putra P","68156","AHU-05518.50.10.2014","04 Sep 2014","1"
"AA2833","YAYASAN PEMBINA PENDIDIKAN PEMUDA LIMBANGAN","Jl.Limbangan-Selaawi No. 875, Neglasari, Kec. Blubur Limbangan, Kab. Garut Prov. Jawa Barat","Ir. H. Umar Yusuf","Agus Sobarudin","44186","AHU-0030661.AH.01.12.","11 Dec 2015","1"
"AE7154","YAYASAN 10 NOPEMBER","Jl.Saxotone 150A Malang, MBAWANG, Kec. Blimbing, Kota Malang Prov. Jawa Timur","Dra SRI yuliatiningsih, M.Si","ENY ANGGRAENY","","36","07 Oct 1988","1"
"AH8835","raudlatul falah","pasirmuncang, pasirmuncang, Kec. Jayanti, Kab. Tangerang Prov. Banten","uyu wahyudin","ACEP SAHAL MAHFUD","15610","135","12 Nov 1993","1"
"AH9197","Yayasan Pendidikan Putra Pertiwi","Jl.Pndok Cabe Raya no.57, Pondok Cabe Ilir, Kec. Pamulang, Kota Tangerang Selatan Prov. Banten","Dra.Gloria Zulkifly,M.MPd","Eni Suharyati SE","15418","22","22 Sep 1996","3"
"AN7679","Pengelola Sekolah Wilayah (PSW) YPK","Bintuni, Bintuni Timur, Kec. Bintuni, Kab. Teluk Bintuni Prov. Papua Barat","Daniel D. Sebaru, S.Sos, M.M","JIMMI EVERT MORTEN MONTILALU","98364","","","20"
"AI2197","Yayasan Islam Al Mashlahat","Jl. Raya Purwakarta No.21, mandalamukti, Kec. Cikalongwetan, Kab. Bandung Barat Prov. Jawa Barat","Tutang Yusuf Hamdani","YOPI NUREKA D","","","31 Dec 2014","1"
"AK9127","Widya Dharma Shanti","Jl. Raya Puputan Renon, Renon, Kec. Denpasar Selatan, Kota Denpasar Prov. Bali","Drs. Ida Bagus Dharmadiaksa, M.Si., Ak","Muhamad Jainal Arifin, S.Kom","80000","","07 Feb 2015","1"
"AH6022","Yayasan Pendidikan An Nahl Balikpapan","MT. Haryono No. 143, -, Kec. Balikpapan Utara, Kota Balikpapan Prov. Kalimantan Timur","Encik Mulyadi, S.Hut","ADIB SANTIKO BUDHI","76126","06","07 Jul 1998","6"
"AN1876","Yayasan Nurul Islam","Jl. Pangandaran 48, Antirogo, Kec. Sumbersari, Kab. Jember Prov. Jawa Timur","KH. Muhyiddin Abdussomad","Dewi Wahyuningsih","68125","7","25 Oct 1997","5"
"AA5162","Yayasan Pendidikan Pendawa","Jl. Kol. Enjo Martadisastra No. 14, Kedung Badak, Kec. Tanah Sareal, Kota Bogor Prov. Jawa Barat","M. Sumarni","Ari Suparmawan","16165","17","14 Oct 1976","1"
"AC8092","St. MARTINUS",", Bijapasu, Kec. Miomafo Tengah, Kab. Timor Tengah Utara Prov. Nusa Tenggara Timur","HIRONIMUS BANAFANU","YUSTINA KONO","","123","24 Jul 2005","1"
"AX8467","YAYASAN BERDIKARI JEMBER","JL. JAMBU NO. 5 JEMBER, -, Kec. Patrang, Kab. Jember Prov. Jawa Timur","MARGA MANDALA","MOH. ANDRIANTO","68111","18","07 Feb 2023","1"
"AH5937","Yayasan Ave Bungen Tana","Jl. Poros pt.kem, Bigung Baru, Kec. Linggang Bingung, Kab. Kutai Barat Prov. Kalimantan Timur","Muhammad Chairul","Theodorus Dedi. D","75576","25","20 Dec 2016","1"
"AH0564","YPP MHI Bangsalsari","Jl. Balung No.27, -, Kec. Bangsalsari, Kab. Jember Prov. Jawa Timur","KH. Ahmad Jauhari","M. Abu Siri","68154","3","11 Sep 2015","1"
"AH5033","Yayasan Pendidikan Taruna Jaya","Jl. Damai No 3, Tanjung Senang , Kec. Tanjung Senang, Kota Bandar Lampung Prov. Lampung","Drs. SUNARI","","","AHU-00413.AH.02.01 TAHUN 2015","17 May 2016","1"
