"npsn","tanggal_pendirian","tanggal_operasional"
"20238023","",""
"20238027","18-02-1999","18-02-2003"
"20238028","09-03-2004","09-03-2004"
"20238515","16-12-1997","16-12-1997"
"20238516","-","-"
"20238517","13-03-2008","13-03-2008"
"20238519","01-01-1901","11-08-2006"
"20238570","22-06-2007","12-02-2007"
"20240396","01-01-1901","01-10-2014"
"20240399","01-01-1901","01-01-1900"
"20244052","10-11-2005","10-11-2005"
"20244054","",""
"20244671","09-04-1986","22-10-2009"
"20244672","08-08-2000","20-10-1981"
"20244733","19-01-2006","19-01-2006"
"20244793","06-06-2007","06-06-2007"
"20245434","26-01-2007","26-01-2007"
"20245435","28-08-2000","29-08-2002"
"20246145","28-11-2002","28-12-2002"
"20246334","11-01-2002","11-01-2002"
"20246367","01-01-1900","15-04-2014"
"20246430","30-01-2007","03-08-2020"
"20246453","-","-"
"20246479","22-11-2002","26-06-2006"
"20247147","01-01-1900","03-07-2000"
"20247150","15-07-1999","01-11-2001"
"20247155","30-12-2003","30-12-2003"
"20247163","01-01-1901","08-03-1982"
"20247170","05-08-1997","02-05-1994"
"20247171","13-05-2004","13-05-2004"
"20247172","21-09-1982","21-09-1982"
"20247182","17-03-2005","17-03-2005"
"20247316","08-08-2007","08-08-2007"
"20251780","21-12-1987","07-07-1987"
"20251782","09-11-1983","09-11-1983"
"20251798","13-05-2003","13-05-2003"
"20251809","09-07-1988","09-07-1988"
"20251860","09-08-2000","09-08-2000"
"20251864","11-12-2006","22-06-2007"
"20251886","01-06-2007","13-09-2013"
"20251911","16-07-2004","29-07-2016"
"20251918","17-07-2006","07-08-2006"
"20251963","18-01-2005","30-01-2007"
"20252048","01-10-1983","20-01-1990"
"20252192","27-12-2006","01-01-1900"
"20252287","10-04-2007","27-03-2006"
"20252421","01-01-1900","08-11-2006"
"20252514","22-06-2004","29-12-2005"
"20252515","24-02-2006","26-07-2006"
"20252516","10-08-1991","06-12-1993"
"20252519","08-10-2007","08-10-2007"
"20252520","24-05-2007","02-09-2020"
"20252595","30-07-1985","11-06-1987"
"20252852","28-12-2007","28-12-2007"
"20252855","06-09-1995","06-09-1995"
"20252983","21-05-2005","17-02-2016"
"20253030","20-01-2004","20-01-2004"
"20253093","-","-"
"20253130","08-01-2008","08-01-2008"
"20253245","08-11-2010","23-06-2006"
"20253249","-","-"
"20253251","17-07-2006","20-12-2007"
"20253279","14-07-2008","14-07-2008"
"20253303","",""
"20253399","30-06-2006","24-01-2007"
"20253557","11-06-2008","11-06-2008"
"20253561","13-07-2010","26-08-2010"
"20253664","31-07-2008","31-07-2008"
"20253783","08-09-2005","06-02-2007"
"20253810","01-01-1900","02-03-2022"
"20253848","03-01-2003","03-01-2007"
"20253857","01-01-1901","01-01-1900"
"20254004","14-12-2009","14-12-2009"
"20254097","01-01-1900","-"
"20254122","06-01-2016","16-12-2008"
"20254165","05-12-2008","05-12-2008"
"20254341","23-08-2004","21-12-2004"
"20257102","28-12-2007","28-12-2007"
"20257671","14-12-2009","10-12-2015"
"20258552","01-05-2004","23-05-2005"
"20263279","28-06-2006","12-01-2011"
"20265518","12-04-2006","28-02-2006"
"20267642","10-02-2010","10-02-2010"
"20268292","12-12-2025","06-07-2007"
"20268437","-","-"
"20268467","21-08-2013","08-06-2010"
"20268524","24-06-2010","24-06-2010"
"20268860","30-03-2009","18-10-2010"
"20268950","25-10-2010","25-10-2010"
"20268951","15-11-1999","22-02-2009"
"20268965","-","-"
"20269170","25-10-2010","26-01-2018"
"20269650","06-12-2010","06-12-2010"
"20269741","27-05-2003","21-04-2003"
"20270709","14-07-2008","18-01-2008"
"20270720","04-04-2011","04-04-2011"
"20270776","20-06-2014","13-12-2010"
"20270922","26-06-2006","26-06-2006"
"20271050","10-11-2009","10-11-2009"
"20271152","01-07-2011","07-10-2011"
"20271985","01-07-2006","04-01-2011"
"20271986","26-11-2010","26-11-2010"
"20272059","25-02-2011","25-02-2011"
"20272074","01-01-1901","05-04-2011"
"20273960","18-05-2008","10-10-2013"
"20275996","-","-"
"20276140","28-11-2011","28-11-2011"
"20276187","04-06-2012","01-01-1900"
"20276398","07-02-2011","13-09-2022"
"20280610","20-06-2012","20-06-2012"
"20280621","27-12-2011","27-12-2011"
"20300628","05-05-1987","05-05-1987"
"20300633","01-01-2000","01-01-2000"
"20300719","30-07-1980","30-07-1980"
"20300734","23-08-1993","01-04-1993"
"20302165","20-03-2023","01-03-1950"
"20302168","15-07-1991","15-07-1991"
"20302170","09-11-1983","09-11-1983"
"20302171","18-12-1973","18-12-1973"
"20302172","05-05-1992","05-05-1992"
"20302173","14-06-1981","14-06-1981"
"20302180","22-11-1985","22-11-1985"
"20302181","05-10-1994","05-10-1994"
"20302183","20-11-1984","20-11-1984"
"20303227","16-05-1997","16-05-1997"
"20303229","08-08-2003","08-08-2003"
"20303231","09-10-1982","09-10-1982"
"20303232","",""
"20303233","14-05-1979","14-05-1979"
"20303235","20-06-1959","12-07-1974"
"20303237","24-04-1989","24-04-1989"
"20303239","05-01-1999","05-01-1999"
"20303246","23-08-1993","23-08-1993"
"20303250","22-04-1989","22-04-1989"
"20303946","05-05-1992","05-05-1992"
"20303981","09-11-1983","09-11-1983"
"20303985","15-07-1991","15-07-1991"
"20304998","01-12-1962","03-04-1978"
"20305026","09-10-1982","09-10-1982"
"20305027","01-01-1901","05-05-1992"
"20305446","01-04-1978","01-04-1978"
"20306169","29-01-1998","29-01-1998"
"20306173","20-06-1991","20-06-1991"
"20306176","30-07-1980","30-07-1980"
"20306191","01-07-2011","27-11-2013"
"20306200","18-08-1979","27-11-2013"
"20306201","22-03-1990","27-11-2013"
"20306202","02-05-1955","09-12-1988"
"20306209","23-11-2013","23-11-2013"
"20306210","06-04-1988","27-11-2013"
"20306807","30-07-1960","30-07-1960"
"20306821","15-07-1991","15-07-1991"
"20307630","02-01-1988","02-01-1988"
"20307631","06-04-1988","06-04-1988"
"20307632","23-06-1986","22-12-1987"
"20307633","23-03-1960","31-01-2005"
"20307634","29-12-1953","01-07-2020"
"20307635","12-11-1982","07-07-1983"
"20307637","17-07-1985","22-12-1987"
"20307638","01-01-1966","16-08-1979"
"20307642","05-05-1987","05-05-1987"
"20307644","09-04-1991","09-04-1991"
"20307645","01-04-1978","28-08-2023"
"20307647","01-01-1901","01-01-1900"
"20307651","26-01-1977","21-01-2016"
"20307709","23-08-1994","23-08-1994"
"20307711","-","-"
"20307713","-","-"
"20307714","01-01-1900","-"
"20308613","23-02-1983","22-12-1987"
"20308620","22-12-1987","09-01-1990"
"20308626","12-10-1987","01-10-1988"
"20309674","-","-"
"20309676","-","-"
"20309679","22-11-1985","01-01-1900"
"20309680","-","-"
"20309690","-","-"
"20309705","",""
"20309707","16-06-1979","19-01-1981"
"20309725","01-06-1970","01-06-1970"
"20309727","",""
"20309728","",""
"20309734","15-05-1979","23-02-1983"
"20310429","30-12-1981","14-06-2020"
"20310430","12-10-1987","12-10-1987"
"20310434","15-01-1987","22-04-1988"
"20310435","09-08-1982","09-08-1982"
"20310495","09-05-1989","09-05-1989"
"20311305","05-10-1994","05-10-1994"
"20311310","10-06-1991","10-06-1991"
"20311312","01-10-1980","27-02-1982"
"20311315","29-12-1981","08-06-1982"
"20311316","",""
"20311332","21-10-1985","21-10-1985"
"20312188","05-05-1992","05-05-1992"
"20312201","20-10-1999","26-04-2000"
"20312203","01-01-1900","25-05-1990"
"20312205","01-01-1900","01-01-1900"
"20313028","30-07-1980","30-07-1980"
"20313049","01-04-1978","22-12-2015"
"20313050","01-01-1900","02-05-1987"
"20313065","",""
"20313067","23-05-1988","23-05-1988"
"20313068","",""
"20313069","",""
"20313073","09-04-1991","09-04-1991"
"20313830","12-04-1989","12-04-1989"
"20313833","01-01-1984","24-11-1987"
"20313835","09-04-1980","01-01-1900"
"20313842","12-10-1987","29-11-1982"
"20313856","01-04-1978","09-12-1989"
"20314883","01-01-1900","01-01-1900"
"20314885","-","-"
"20314886","07-06-1983","16-03-1987"
"20314889","29-06-2002","29-06-2002"
"20314892","23-02-1983","12-10-1987"
"20314895","21-05-1983","21-05-1983"
"20314906","23-08-1900","23-08-1993"
"20315018","05-05-1973","05-05-1973"
"20315693","30-12-1980","10-06-1980"
"20315695","09-11-1983","09-11-1983"
"20315696","01-01-1900","06-10-1993"
"20315697","01-08-1962","01-08-1962"
"20317490","12-09-1980","08-06-1982"
"20317493","01-04-1980","11-06-1990"
"20317502","09-10-1982","07-03-1997"
"20318323","22-11-1984","22-11-1984"
"20318331","28-11-1987","31-10-1984"
"20318342","20-10-1995","26-10-1995"
"20319281","23-06-1997","23-06-1997"
"20319282","18-03-1983","17-08-1984"
"20319283","20-12-1977","17-09-1987"
"20319292","23-08-1993","23-08-1993"
"20319299","20-10-1999","20-10-1999"
"20319300","29-01-1998","29-01-1998"
"20319301","22-12-1986","22-12-1986"
"20319304","01-12-2003","01-12-2003"
"20319305","12-04-2000","12-04-2000"
"20319324","23-02-1983","05-05-1987"
"20320241","01-01-1900","20-11-1984"
"20320244","30-07-1980","30-07-1980"
"20320258","05-05-1902","05-05-1992"
"20320370","20-06-1995","23-12-2016"
"20320371","01-01-1900","12-07-2012"
"20320373","15-12-1977","30-08-2023"
"20320374","01-04-2002","28-08-2023"
"20320375","24-11-1987","24-11-1987"
"20320376","05-02-2005","05-02-2002"
"20320382","22-12-1987","22-12-1987"
"20320384","05-10-1994","05-10-1994"
"20320387","09-10-1982","09-10-1982"
"20320389","04-09-1985","09-04-1991"
"20320390","24-11-1987","24-11-1987"
"20320391","01-04-1978","01-04-1978"
"20320392","09-04-1989","09-04-1989"
"20321428","09-11-1983","09-11-1983"
"20321429","20-06-1991","20-06-1991"
"20321430","01-01-1900","15-01-1983"
"20321431","30-09-1962","01-04-1978"
"20321435","06-04-1988","06-04-1988"
"20321436","01-06-1970","01-06-1970"
"20321438","01-08-1959","01-01-1900"
"20321831","01-06-2005","01-06-2005"
"20321832","07-06-2005","07-06-2005"
"20321834","09-10-1982","09-10-1982"
"20321835","20-11-1984","20-11-1984"
"20321836","03-04-2006","03-04-2006"
"20321971","01-01-1979","01-04-1978"
"20321972","22-03-1990","22-03-1990"
"20321976","23-02-1983","07-07-1983"
"20321979","01-01-1900","16-03-1987"
"20321980","11-01-1983","27-11-2018"
"20321982","14-06-1983","04-08-2012"
"20322737","09-11-1981","21-06-2021"
"20322738","25-09-1985","22-12-1987"
"20322741","20-11-1984","20-11-1984"
"20322743","05-10-1994","23-08-1995"
"20322747","23-05-2000","23-05-2000"
"20323379","01-01-1900","01-01-1900"
"20323550","08-04-1982","12-10-1987"
"20323602","26-02-1992","26-02-1992"
"20323603","11-11-2019","08-02-2020"
"20324210","01-10-1997","01-10-1997"
"20324221","18-10-1981","04-12-1981"
"20324304","01-01-1900","01-01-1900"
"20324370","05-10-1982","07-06-1983"
"20324387","18-03-1983","18-03-1983"
"20324388","05-07-2003","05-07-2003"
"20324391","28-11-1987","16-03-1987"
"20324392","23-02-1983","01-06-1970"
"20324393","23-02-1983","27-06-1983"
"20325279","05-09-1991","05-09-1991"
"20325282","26-07-2001","26-07-2001"
"20325283","20-01-1982","20-01-1982"
"20325296","05-01-1996","05-05-1987"
"20325297","01-01-1901","31-10-1981"
"20325301","12-11-2003","12-11-2003"
"20325302","11-06-1990","11-06-1990"
"20325305","01-07-1982","01-07-1982"
"20325306","24-11-1986","28-11-1987"
"20325307","04-11-1987","08-02-1988"
"20325308","28-12-1987","28-12-1987"
"20325309","11-02-1989","11-02-1989"
"20325310","04-06-1996","06-04-1988"
"20326430","30-07-1991","20-06-1991"
"20326433","29-01-1998","29-01-1998"
"20326434","-","-"
"20326435","11-02-2015","12-03-2002"
"20326436","18-12-1973","09-08-1985"
"20326437","01-01-1901","01-07-1997"
"20326460","05-07-2010","05-07-2010"
"20326461","20-10-1999","20-10-1999"
"20326484","07-06-1983","07-06-1983"
"20326486","20-11-1984","20-11-1984"
"20326489","10-09-1991","05-09-1991"
"20326490","05-11-1980","05-11-1990"
"20326499","27-10-1981","27-10-1981"
"20327561","01-01-1901","01-04-1978"
"20327563","21-05-2015","21-05-2015"
"20327936","26-02-1992","26-02-1992"
"20327939","03-10-1983","28-11-2016"
"20327962","",""
"20327967","18-07-2019","18-07-2019"
"20327968","11-08-2015","11-08-2015"
"20327969","19-06-2020","02-09-2019"
"20327970","09-08-1955","09-08-1955"
"20327972","20-11-1984","05-09-2016"
"20327973","23-04-1996","23-04-1996"
"20327975","",""
"20327976","",""
"20327979","01-01-1901","05-05-1987"
"20327980","13-08-1979","12-02-2014"
"20327982","24-09-1982","07-06-1983"
"20328396","22-12-1987","22-12-1987"
"20328397","",""
"20328398","21-02-1955","01-04-1978"
"20328447","14-06-1956","14-06-1956"
"20328867","01-07-1955","07-03-1997"
"20328872","",""
"20328876","01-01-1979","01-06-1979"
"20328877","22-12-1987","05-11-2015"
"20328878","01-01-1900","-"
"20328892","03-09-1965","03-09-1965"
"20328893","01-01-1900","-"
"20328896","01-01-1900","-"
"20328898","01-01-1900","-"
"20328911","01-01-1900","-"
"20328913","31-12-1952","27-04-1982"
"20328914","24-12-1988","31-03-1992"
"20328917","02-09-2002","05-11-2015"
"20328920","13-04-1999","13-04-1999"
"20328921","",""
"20328922","",""
"20328924","25-01-1988","30-08-2023"
"20328925","27-12-1966","18-05-2015"
"20328933","01-04-1978","01-04-1978"
"20328934","01-01-1900","05-11-2015"
"20328938","08-09-1980","08-09-1980"
"20328939","14-07-1981","14-07-1981"
"20329516","01-01-1900","-"
"20329521","01-06-1967","01-06-1970"
"20329522","27-09-1984","27-09-1984"
"20329523","",""
"20329525","01-06-1970","24-08-2020"
"20329845","22-12-1986","22-12-1986"
"20329846","07-01-1978","30-06-1980"
"20330033","28-12-1965","01-04-1978"
"20330036","29-06-2002","29-06-2002"
"20330037","28-05-2004","28-05-2004"
"20330113","22-03-1995","22-03-1995"
"20330277","17-08-1984","09-06-1983"
"20330281","16-08-1963","16-08-1965"
"20330284","16-05-1997","16-05-1997"
"20330346","01-06-1970","15-03-2012"
"20330347","24-10-1985","11-04-2022"
"20330348","",""
"20331092","08-11-2019","01-04-1978"
"20331701","15-07-2005","20-09-2005"
"20331702","23-02-1982","10-02-1982"
"20331705","17-05-1997","17-05-1997"
"20331895","11-01-1989","30-08-2023"
"20331902","25-04-1973","25-04-1973"
"20331910","01-03-1978","01-04-1978"
"20331912","01-01-1900","06-04-1988"
"20331914","26-05-1984","30-08-2023"
"20331917","07-07-1983","07-07-1983"
"20331918","01-01-1900","16-03-1987"
"20331953","21-07-1980","12-11-2019"
"20331976","01-01-1901","01-06-1970"
"20332518","12-10-2006","12-10-2006"
"20332522","29-01-2007","20-03-2023"
"20337796","25-10-2005","25-10-2005"
"20337806","01-07-1984","10-10-1984"
"20338130","01-01-1901","07-07-1983"
"20338216","04-10-1982","16-03-1987"
"20338398","26-07-2012","05-06-2006"
"20338425","29-12-2006","29-12-2006"
"20338802","31-05-2007","31-05-2007"
"20339001","13-12-1959","13-12-1959"
"20339002","30-03-1997","30-03-1997"
"20339009","01-06-1970","01-06-1970"
"20339011","18-04-2016","18-04-2016"
"20339018","22-11-1985","22-11-1985"
"20339021","01-05-1948","01-05-1948"
"20339022","01-01-1900","-"
"20339023","01-01-1900","05-06-1989"
"20339024","05-06-1989","01-07-1989"
"20339055","10-10-1983","19-05-1984"
"20340665","01-10-1987","23-01-1998"
"20340947","20-03-2007","10-09-2007"
"20340959","02-07-2004","02-07-2004"
"20341009","28-03-2007","15-09-2023"
"20341281","01-01-1901","16-09-2008"
"20341554","03-11-2008","03-11-2008"
"20341603","09-06-2011","26-05-2008"
"20353753","21-04-2012","10-06-2004"
"20353956","04-03-2008","04-03-2008"
"20354028","05-10-1961","05-10-1961"
"20356178","21-04-2007","21-04-2007"
"20358250","01-01-1900","15-05-2009"
"20400378","01-01-1900","20-10-1999"
"20400381","01-01-1900","-"
"20400405","28-10-2021","28-10-2021"
"20402052","03-06-1986","01-08-1979"
"20402054","01-01-1901","03-06-1986"
"20402127","15-03-1991","02-03-2020"
"20402794","01-08-1962","21-12-2021"
"20402797","",""
"20402798","03-06-1986","03-06-1986"
"20402800","19-08-1979","01-01-1978"
"20402801","19-08-1979","24-06-1986"
"20402804","14-03-1981","01-07-1981"
"20402808","05-10-1994","05-10-1994"
"20403140","01-07-1983","01-07-1983"
"20403145","01-01-1901","01-01-1900"
"20403151","01-01-1978","11-04-1978"
"20403171","12-07-2019","12-07-2019"
"20403175","10-10-1986","10-10-1986"
"20403176","05-06-1989","05-06-1989"
"20403177","01-01-1900","17-07-1965"
"20403179","08-08-1952","01-07-1952"
"20404171","23-04-2003","23-04-2003"
"20404177","10-12-1983","29-05-1986"
"20500450","18-05-1978","29-07-2021"
"20500457","01-07-1990","12-08-2022"
"20500466","01-01-1900","18-07-2018"
"20500473","16-05-1997","20-03-1996"
"20500476","17-11-2000","17-11-2000"
"20500558","15-01-1986","19-01-2023"
"20500633","21-10-1987","15-05-2019"
"20500653","02-02-2016","16-11-2020"
"20500654","16-08-2016","21-05-2019"
"20500655","08-09-2015","01-08-2019"
"20500659","18-09-1989","30-12-2020"
"20500661","20-06-2001","06-08-2018"
"20500662","01-07-1981","01-09-2021"
"20500663","13-07-2020","02-12-2020"
"20501698","03-11-2006","10-09-2007"
"20501703","05-05-1992","19-05-2022"
"20501704","04-09-2007","19-05-2022"
"20501784","30-07-1980","19-05-2022"
"20501846","01-01-1900","19-05-2022"
"20501862","29-01-1998","19-05-2022"
"20501869","21-01-2002","05-11-2020"
"20501870","23-09-1997","10-02-2021"
"20502669","",""
"20502699","29-01-1998","19-05-2022"
"20502720","-","-"
"20502724","19-05-1981","19-05-2022"
"20502725","20-10-1999","19-10-1999"
"20502726","30-07-1980","30-07-1980"
"20503407","12-09-1983","01-01-1900"
"20503410","05-05-1992","05-05-1992"
"20503411","20-10-1999","20-10-1999"
"20503413","05-09-1991","15-07-1991"
"20503414","16-07-1960","16-07-1960"
"20503415","26-01-1980","30-07-1980"
"20503621","24-07-1974","05-11-2020"
"20503626","02-04-1990","19-10-2022"
"20503628","14-09-2015","23-08-2019"
"20503631","10-07-2003","14-02-2019"
"20503862","29-11-2007","05-10-2021"
"20504477","07-03-1997","07-03-1997"
"20504478","09-08-1985","01-01-1979"
"20504479","17-07-1985","17-07-1985"
"20504487","20-11-1984","20-11-1984"
"20504496","01-07-1980","27-09-2023"
"20504500","07-03-1997","07-03-1997"
"20505007","05-05-1992","07-02-1994"
"20505014","29-01-1998","29-01-1998"
"20505056","",""
"20506291","22-12-1986","22-12-1986"
"20506295","01-01-1901","01-01-1900"
"20506335","16-07-2010","15-07-2019"
"20507726","01-01-1900","01-01-1900"
"20507730","01-01-1901","01-01-1900"
"20507731","20-10-1999","20-10-1999"
"20507733","01-08-1965","24-08-1989"
"20507734","07-05-1990","05-05-1992"
"20508472","01-01-1900","01-01-1900"
"20508473","05-01-1987","22-06-2022"
"20508481","-","-"
"20508482","01-01-1983","01-01-1983"
"20509317","15-09-1978","22-11-1978"
"20509320","29-01-1998","29-01-1998"
"20510136","",""
"20510140","13-11-2015","03-03-2023"
"20510145","01-03-2003","01-03-2003"
"20510147","03-09-1979","19-05-2022"
"20510154","15-04-2002","15-04-2002"
"20510156","29-06-2004","29-06-2004"
"20511003","-","-"
"20511005","09-11-1983","09-11-1983"
"20511011","30-07-1964","27-08-2019"
"20511860","01-07-1981","14-06-2022"
"20511953","01-01-1901","24-08-1989"
"20514344","16-01-1974","09-08-1985"
"20514351","20-04-1984","28-10-2002"
"20514353","01-04-1984","24-10-2022"
"20514393","06-02-1990","13-12-2022"
"20515428","05-05-1992","05-05-1992"
"20515432","20-10-1999","20-10-1999"
"20515468","",""
"20515470","01-01-1901","27-09-2013"
"20517728","01-07-1996","19-05-2022"
"20517729","22-12-1986","19-05-2022"
"20517730","30-05-1977","19-05-2022"
"20517732","09-11-1983","19-05-2022"
"20517733","17-03-2005","19-05-2022"
"20517734","01-07-2009","19-05-2022"
"20517736","01-04-1978","19-05-2022"
"20517737","-","-"
"20517739","27-10-2005","19-05-2022"
"20517799","09-01-2014","02-11-2015"
"20517814","01-07-1986","19-10-2022"
"20517817","30-04-1986","24-01-2023"
"20517822","14-05-1980","19-10-2020"
"20517832","14-01-1984","14-05-2019"
"20517836","21-11-1983","14-05-2019"
"20517843","26-10-1983","18-02-2022"
"20519283","20-01-1986","12-11-2019"
"20519286","10-12-1984","15-01-2020"
"20519288","01-04-1978","19-03-2019"
"20519291","08-10-2012","12-11-2018"
"20519292","07-09-1987","19-04-2022"
"20519298","30-05-1983","30-05-1983"
"20519300","05-05-1992","12-03-2020"
"20519303","09-04-1981","03-01-2022"
"20519305","07-09-1987","28-03-2022"
"20519321","19-08-1989","02-12-2020"
"20519324","01-02-1988","11-11-2019"
"20519328","21-03-2017","18-07-2022"
"20519330","03-11-2016","24-10-2022"
"20519331","07-12-2005","14-08-2019"
"20520027","03-11-2006","25-05-2021"
"20520805","30-06-1976","03-05-2021"
"20520815","18-10-1988","03-05-2021"
"20520816","05-03-1984","28-06-2021"
"20520822","31-12-1983","22-04-2021"
"20521445","22-12-1986","01-01-1900"
"20521457","20-12-2004","01-01-1900"
"20521459","01-01-1901","01-01-1900"
"20521714","01-01-1901","22-12-1986"
"20523794","25-05-1983","13-02-2019"
"20523797","24-07-1974","08-02-2022"
"20523802","25-10-2010","10-12-2019"
"20523804","01-01-1900","01-01-1900"
"20523806","14-01-1992","19-10-2022"
"20523812","12-07-1999","08-07-2019"
"20523814","26-06-1980","10-10-2022"
"20523816","01-07-1982","27-06-2022"
"20523818","15-06-1983","10-05-2022"
"20523820","17-03-2003","28-06-2021"
"20523826","08-02-1988","08-02-1988"
"20523830","05-10-1994","05-10-1994"
"20523835","29-01-1998","29-01-1998"
"20523838","01-01-1901","02-08-2022"
"20523839","07-09-2012","02-03-2022"
"20523841","10-06-2022","22-09-2022"
"20523844","27-09-1953","19-05-2022"
"20523845","09-11-1983","19-05-2022"
"20523846","30-05-1991","30-05-1991"
"20525600","03-01-2020","03-01-2020"
"20525601","03-11-2003","03-11-2003"
"20525832","21-01-2002","18-01-2022"
"20525835","18-08-1979","15-01-2024"
"20525851","01-10-1981","26-05-2023"
"20525854","01-01-1900","01-01-1900"
"20525855","-","-"
"20525856","17-08-1959","19-05-2022"
"20525858","05-05-1992","05-05-1992"
"20525863","05-05-1992","19-05-2022"
"20525868","04-05-2011","01-09-2021"
"20525872","27-12-2004","27-12-2004"
"20525873","29-03-2004","29-03-2004"
"20527230","01-01-1901","26-08-2014"
"20527231","29-01-1998","29-01-1998"
"20527232","-","-"
"20527233","13-11-1980","13-10-1989"
"20527237","05-06-1989","05-06-1989"
"20527251","29-01-1998","26-01-2022"
"20528647","01-03-2002","22-07-2019"
"20528659","07-09-2004","07-09-2004"
"20528661","09-01-1984","19-05-2022"
"20528662","17-07-1965","17-07-1965"
"20528663","09-09-1998","19-05-2022"
"20529962","-","-"
"20529963","27-10-2005","03-10-2002"
"20529968","01-01-1901","01-01-1900"
"20529969","23-08-1993","01-01-1900"
"20529971","-","-"
"20531146","10-09-1962","10-09-1962"
"20531150","13-08-2004","14-11-2023"
"20531151","01-01-1901","13-10-2020"
"20531186","05-05-1992","05-05-1992"
"20531227","15-07-1991","15-07-1991"
"20531228","01-04-1978","01-04-1978"
"20532087","16-07-1951","09-01-2023"
"20532088","04-03-1992","14-04-2021"
"20532092","16-10-1970","13-10-2020"
"20532094","29-05-1976","09-01-2019"
"20532107","08-11-1995","15-07-2022"
"20532117","",""
"20532124","13-09-1989","13-07-2018"
"20532125","20-01-1989","09-09-2020"
"20532127","15-10-1986","28-04-2022"
"20532136","12-09-1989","15-01-2020"
"20532138","10-03-1964","28-03-2022"
"20532141","19-10-1989","28-09-2022"
"20532146","25-01-1967","01-10-2020"
"20532147","13-04-1987","20-07-2023"
"20532148","29-12-1990","13-04-2023"
"20532150","06-03-1986","27-09-2017"
"20532152","30-06-1976","10-12-2019"
"20532162","06-11-1978","22-07-2021"
"20532164","01-07-1989","19-07-2020"
"20532216","02-05-1991","20-05-2021"
"20532231","22-06-2020","22-06-2020"
"20532232","15-07-1991","15-07-1991"
"20532244","03-09-1979","03-09-1979"
"20532245","-","-"
"20532246","08-10-1982","01-01-1900"
"20532247","01-01-1900","-"
"20532248","-","-"
"20532261","-","-"
"20532366","17-07-1970","21-09-2022"
"20532380","07-03-1988","17-10-2018"
"20532384","",""
"20532394","01-01-1901","20-09-2022"
"20532404","05-05-2006","08-01-2020"
"20533611","09-12-2014","22-01-2021"
"20533612","17-06-1968","15-06-2022"
"20533627","15-09-2003","15-09-2020"
"20533630","04-06-2013","04-11-2019"
"20533638","09-06-1958","09-09-2020"
"20533652","30-07-1980","30-07-1980"
"20533661","20-10-1999","20-10-1999"
"20533664","-","-"
"20533667","01-01-1900","01-01-1900"
"20534119","26-10-1995","26-10-1995"
"20534305","18-08-1984","28-09-2018"
"20534307","12-05-1979","14-01-2019"
"20534388","26-11-1960","16-06-2006"
"20535474","15-07-1991","05-06-1989"
"20535475","01-01-1900","22-12-1986"
"20536280","10-05-1979","09-07-2019"
"20536282","23-02-1981","26-07-2019"
"20536817","02-09-1978","01-01-1900"
"20537013","01-01-1900","13-11-2020"
"20537288","11-03-1997","29-01-1998"
"20538326","18-12-1973","18-12-1973"
"20538327","03-08-1989","03-08-1989"
"20539029","16-10-2009","09-10-2009"
"20539237","01-06-1978","05-11-2019"
"20539244","03-01-1900","07-04-2015"
"20539254","01-07-1987","21-07-2022"
"20539276","23-08-2005","23-08-2005"
"20539852","30-06-2004","30-12-2021"
"20540045","07-02-1994","07-02-2018"
"20540057","31-07-2012","27-01-2022"
"20540058","13-01-1983","24-08-2023"
"20540065","26-06-2013","10-10-2022"
"20540069","26-06-2013","07-06-2018"
"20540072","30-06-1976","07-09-2023"
"20540074","15-10-1984","15-06-2023"
"20540165","07-09-1987","23-03-2022"
"20540166","01-07-2010","01-09-2021"
"20540291","06-04-1988","23-08-2019"
"20540293","30-12-2011","24-09-2021"
"20540300","23-04-1988","19-11-2019"
"20540375","24-03-2006","12-04-2022"
"20541218","11-05-2018","22-10-2023"
"20541224","15-07-1982","23-07-2018"
"20541228","29-01-1998","29-01-1998"
"20541242","31-07-1980","31-07-1980"
"20541243","17-07-2006","17-07-2006"
"20541249","27-06-1995","03-12-2020"
"20541254","29-04-1995","10-06-2023"
"20542494","24-07-1974","16-10-2013"
"20542501","05-07-2006","05-07-2006"
"20542505","27-12-2004","27-12-2004"
"20542507","01-07-1987","01-07-1987"
"20542534","25-11-2005","18-02-2022"
"20546518","04-04-2007","18-02-2022"
"20546525","01-12-2006","03-05-2021"
"20546526","29-11-2006","01-02-2018"
"20546529","01-01-1900","03-05-2021"
"20546530","02-08-2006","22-07-2021"
"20546534","23-04-1993","01-04-1993"
"20546976","16-10-2009","09-10-2009"
"20546978","29-03-2011","10-06-2011"
"20547806","22-01-2015","22-05-2019"
"20547807","20-07-2007","19-10-2022"
"20548655","05-08-2006","19-05-2022"
"20548722","01-09-2012","23-04-2018"
"20549069","21-11-2007","22-01-2018"
"20549256","04-10-2005","06-04-2018"
"20549258","01-11-2005","19-03-2019"
"20549360","08-11-2007","13-08-2019"
"20549387","18-07-2005","03-12-2019"
"20549429","02-10-2007","14-05-2018"
"20549446","10-07-1984","10-12-2019"
"20549465","11-08-2006","19-05-2022"
"20549614","19-08-2005","09-07-2019"
"20549624","23-07-2007","03-03-2023"
"20549767","07-07-2007","26-07-2019"
"20551745","08-08-2005","13-12-2022"
"20551880","",""
"20551884","02-02-2002","26-10-2018"
"20551885","29-09-2004","28-04-2022"
"20551891","01-07-1982","10-08-2015"
