"npsn","tanggal_pendirian","tanggal_operasional"
"10202673","01-01-1900","-"
"10202674","",""
"10202677","01-01-1900","31-05-2023"
"10202680","17-10-1988","25-09-2020"
"10202681","",""
"10202721","",""
"10202759","15-07-1991","15-07-1991"
"10202760","14-03-1989","24-07-2013"
"10202761","01-01-1900","01-01-1900"
"10202763","01-01-1998","01-01-1998"
"10202764","01-01-1985","01-01-1985"
"10202765","01-01-1900","05-10-2022"
"10202768","01-01-1900","20-08-2013"
"10202772","13-01-1987","26-04-2017"
"10202773","01-01-1900","-"
"10202787","01-01-1900","-"
"10202790","01-01-1900","30-09-2022"
"10202791","22-04-2005","22-04-2005"
"10203517","05-07-1989","26-02-2021"
"10203518","15-08-2003","13-10-1997"
"10203520","30-10-1986","15-12-2017"
"10203521","27-08-2019","28-02-2023"
"10203524","-","-"
"10203536","01-01-1900","01-01-1900"
"10203537","-","-"
"10203549","17-11-2000","28-04-2023"
"10203550","20-11-1984","20-11-1984"
"10203551","01-01-1900","30-07-1980"
"10203554","-","-"
"10204053","-","-"
"10204054","26-10-1995","26-10-1995"
"10204055","04-02-2003","04-02-2003"
"10204057","31-12-1984","18-11-2017"
"10204060","05-10-1994","05-10-1994"
"10204061","04-02-2003","01-01-1900"
"10204064","30-12-1971","30-12-1971"
"10204065","-","-"
"10204066","04-02-2003","21-08-2015"
"10204067","05-10-1994","05-10-1994"
"10204224","-","-"
"10204225","31-12-2014","14-02-2023"
"10204227","05-01-1977","21-05-2018"
"10204229","12-01-1987","09-10-2023"
"10204231","17-09-2020","14-12-2022"
"10204233","",""
"10204235","",""
"10204236","06-10-1980","07-10-2014"
"10204237","28-10-2011","03-11-2016"
"10204238","01-01-1900","-"
"10204240","13-05-2010","18-04-2023"
"10204241","12-01-1993","05-05-2023"
"10204246","01-01-1900","28-05-2018"
"10204250","-","-"
"10204253","14-03-1987","17-05-2023"
"10204254","01-01-1900","21-10-2018"
"10204255","15-07-1985","11-01-2016"
"10205362","01-01-1901","15-02-2005"
"10205365","01-01-1900","01-01-1900"
"10205369","03-05-1988","20-11-2012"
"10205377","07-09-1995","30-09-2021"
"10205379","-","-"
"10205380","15-07-1991","15-07-1991"
"10205383","20-02-2004","20-02-2004"
"10205386","05-05-1992","05-05-1992"
"10205388","01-01-1900","-"
"10205389","-","-"
"10205390","-","-"
"10205391","05-10-1994","01-01-1900"
"10205392","01-01-1900","01-01-1900"
"10205393","-","-"
"10205394","-","-"
"10205416","29-11-2006","21-08-2013"
"10206127","-","-"
"10206128","14-06-1956","14-06-1956"
"10206129","17-11-2000","11-01-2023"
"10206130","01-01-1967","01-01-1967"
"10206131","22-12-1986","22-12-1986"
"10206132","22-12-1986","01-07-1986"
"10206133","09-11-1983","01-01-1900"
"10206137","01-06-1983","25-08-2022"
"10206583","05-10-1994","05-10-1994"
"10206585","12-12-1994","10-04-2014"
"10207064","-","-"
"10207065","01-01-1900","01-01-1900"
"10207066","01-01-1900","01-01-1900"
"10207067","13-09-1978","26-08-2015"
"10207068","01-01-1900","-"
"10207069","01-01-1900","-"
"10207078","29-01-1998","28-08-1998"
"10207079","-","-"
"10207085","18-08-2005","18-08-2005"
"10208057","-","-"
"10208074","-","-"
"10208121","08-09-2021","08-09-2021"
"10208159","12-01-1987","29-08-2003"
"10208163","-","-"
"10208164","09-05-2003","27-05-2003"
"10208168","-","-"
"10208458","-","-"
"10208459","01-01-1901","01-01-1900"
"10208460","-","-"
"10208461","-","-"
"10208462","-","-"
"10208463","01-01-1901","01-01-1900"
"10208520","-","-"
"10208656","-","-"
"10208657","-","-"
"10208701","-","-"
"10208714","-","-"
"10208722","27-04-1994","08-08-2019"
"10208724","01-01-1900","01-01-1900"
"10208726","-","-"
"10208943","06-05-1982","06-03-2018"
"10208950","01-07-1957","01-07-1957"
"10208951","-","-"
"10208952","26-10-1988","08-01-1998"
"10208953","09-01-1990","03-11-2022"
"10208954","",""
"10208955","06-03-2018","06-03-2018"
"10208956","19-07-2016","14-11-2023"
"10209388","-","-"
"10209395","-","-"
"10209410","-","-"
"10209413","21-03-2011","01-04-2016"
"10209419","-","-"
"10209421","14-03-2001","08-08-2014"
"10209423","06-01-2009","08-10-2015"
"10209429","20-07-1989","14-12-2017"
"10209430","",""
"10210416","12-07-1983","08-11-2023"
"10210705","05-09-1979","22-10-2019"
"10210706","18-09-2014","06-04-2015"
"10210708","01-05-1985","17-11-1997"
"10210709","02-12-1992","29-10-2014"
"10210711","-","-"
"10210714","16-07-2014","24-02-2021"
"10210715","12-02-2012","12-06-2020"
"10210716","-","-"
"10210723","20-07-2016","17-12-2014"
"10210729","",""
"10210730","-","-"
"10210731","01-01-1900","15-11-2021"
"10210734","29-09-2010","31-12-2014"
"10210736","-","-"
"10210738","22-03-1956","30-10-2019"
"10210740","",""
"10210747","29-08-2003","11-10-2019"
"10210750","06-06-1995","05-08-2015"
"10210751","01-01-1900","-"
"10210755","12-08-2016","28-07-2016"
"10210756","09-05-1960","16-12-2019"
"10210757","-","-"
"10210794","28-10-2002","14-05-2020"
"10210796","09-01-2004","09-01-2014"
"10210798","20-01-1987","17-12-2020"
"10210801","23-05-2003","27-09-2015"
"10210802","04-08-2020","17-07-2019"
"10210804","",""
"10210806","-","-"
"10210812","",""
"10210815","31-12-2014","24-03-2022"
"10210816","23-05-2003","30-06-2011"
"10210817","31-07-1979","19-06-2017"
"10210819","13-06-2015","27-03-2018"
"10210820","16-04-1990","19-12-2023"
"10210826","-","-"
"10210827","07-06-2017","21-04-2022"
"10210828","01-01-1901","19-11-2014"
"10210829","28-06-1963","29-09-2020"
"10210832","28-06-1963","08-12-2020"
"10210837","04-02-2020","19-04-2016"
"10210838","22-03-1996","21-08-2020"
"10210840","30-08-2000","11-10-2019"
"10210842","17-07-1989","31-12-2014"
"10210846","",""
"10210848","31-10-2018","22-07-2020"
"10210849","-","-"
"10210851","-","-"
"10210852","-","-"
"10210853","-","-"
"10210854","-","-"
"10210855","01-03-2023","01-03-2023"
"10210857","-","-"
"10210858","-","-"
"10210860","-","-"
"10210861","01-01-1900","01-01-1900"
"10210862","-","-"
"10210863","-","-"
"10210864","-","-"
"10210866","13-07-1962","26-08-2014"
"10210869","01-01-1900","01-01-1900"
"10210873","18-08-1950","08-12-2021"
"10210874","29-07-2022","29-07-2022"
"10210875","07-05-2021","01-07-1979"
"10210876","03-09-1979","01-04-1979"
"10210877","-","-"
"10210879","26-08-1983","26-08-2014"
"10210880","23-08-1980","02-02-2011"
"10210883","-","-"
"10210886","30-05-1989","29-10-2014"
"10210887","05-02-1985","04-08-2014"
"10210889","08-06-2015","30-01-2015"
"10210891","25-02-2004","18-09-2020"
"10210906","11-07-1988","21-10-2014"
"10210919","06-12-2005","27-09-2016"
"10210920","",""
"10210922","25-06-1989","25-11-2019"
"10210923","10-12-1986","13-07-2020"
"10210926","-","-"
"10210928","29-04-1987","02-10-2020"
"10210929","13-07-1987","01-01-1900"
"10210931","30-04-1997","28-09-2020"
"10210933","09-08-2017","15-06-2004"
"10210934","01-04-2013","17-05-2018"
"10210939","15-09-1988","12-01-2012"
"10210971","-","-"
"10211290","28-07-2003","31-08-2016"
"10211291","02-10-2020","29-11-2017"
"10211292","24-07-2002","21-05-2019"
"10211303","02-09-1963","23-02-2018"
"10211305","05-09-2023","05-09-2023"
"10211306","27-02-2004","27-02-2004"
"10211309","01-01-1900","09-05-2023"
"10211312","01-01-1900","05-09-2013"
"10211313","29-07-2016","20-09-2022"
"10211315","04-04-1983","02-10-2019"
"10211317","-","-"
"10211390","-","-"
"10211534","07-01-1971","25-10-2022"
"10211538","",""
"10211541","",""
"10211564","-","-"
"10211565","11-06-1959","11-06-1959"
"10211586","01-07-1983","01-07-1983"
"10211587","01-07-1991","01-07-1991"
"10211681","-","-"
"10211683","17-07-2014","17-02-2023"
"10211684","25-05-1984","23-02-1983"
"10211685","13-08-1979","27-03-2018"
"10211686","02-07-2022","05-05-2023"
"10211688","28-04-1987","09-07-2021"
"10211689","04-02-1986","05-04-2022"
"10211696","",""
"10211697","18-09-1985","28-05-2018"
"10211703","-","-"
"10211704","12-07-1954","31-07-2013"
"10211706","01-08-1954","21-05-2023"
"10211708","28-07-1983","12-09-2023"
"10211709","",""
"10211710","-","-"
"10211712","03-05-1985","27-03-2018"
"10212010","13-05-2004","13-05-2004"
"10212011","-","-"
"10212023","20-04-1987","21-12-2020"
"10212099","10-04-1991","18-10-2017"
"10212114","-","-"
"10212115","16-11-1994","18-10-2017"
"10212116","27-12-1956","27-12-1956"
"10212130","01-01-1900","01-01-1900"
"10212131","-","-"
"10212196","29-08-2003","29-08-2023"
"10212197","29-09-1984","28-08-2023"
"10212201","01-01-1946","01-01-1957"
"10212217","01-01-1963","01-01-1963"
"10212243","01-01-1900","-"
"10212244","08-09-1985","28-10-2002"
"10212246","13-09-1991","20-09-1991"
"10212248","08-07-2004","08-07-2004"
"10212416","04-02-1992","07-07-2021"
"10212418","",""
"10212445","23-06-1988","23-06-1988"
"10212553","",""
"10212577","01-01-1900","05-03-2007"
"10212578","13-03-2023","13-03-2023"
"10212720","22-05-1987","17-05-2013"
"10212763","01-07-2003","27-08-2013"
"10212766","01-01-1900","01-01-1900"
"10214105","-","-"
"10214107","30-10-2001","16-03-2018"
"10214122","27-12-2010","17-07-2014"
"10214125","",""
"10214128","20-11-2020","28-07-2022"
"10214132","-","-"
"10214134","-","-"
"10214135","-","-"
"10214136","-","-"
"10214137","-","-"
"10214138","-","-"
"10214140","-","-"
"10214144","07-07-1977","03-03-2020"
"10214147","23-07-1984","15-07-2019"
"10214149","13-07-2000","31-03-2019"
"10214150","20-05-1999","11-11-2014"
"10214151","01-01-1900","01-01-1900"
"10214152","12-10-1987","10-10-2019"
"10214154","-","-"
"10214157","15-11-2019","11-11-2020"
"10214159","23-11-1979","31-10-2019"
"10214167","-","-"
"10214172","12-07-2021","11-02-2020"
"10214174","15-05-1993","21-11-2021"
"10214177","-","-"
"10214179","01-07-1999","09-01-2018"
"10214186","11-11-2011","11-11-2014"
"10219061","-","-"
"10219089","21-08-1987","30-12-2015"
"10219105","-","-"
"10219109","-","-"
"10219149","30-08-2010","22-12-2014"
"10219151","",""
"10219920","11-11-2009","11-11-2014"
"10219922","-","-"
"10219923","01-01-1900","01-01-1900"
"10220210","21-05-1999","18-10-2006"
"10220213","17-04-2007","09-01-2020"
"10220214","23-12-2008","05-03-2024"
"10220218","11-10-2005","23-06-2022"
"10220221","",""
"10220224","04-12-2006","04-12-2006"
"10220225","10-01-1985","11-03-2013"
"10220228","11-11-2014","19-05-2021"
"10220290","01-07-1997","01-07-2020"
"10220294","01-01-1900","01-01-1900"
"10220295","-","-"
"10220297","01-01-1901","11-07-2005"
"10220320","01-01-1900","01-01-1900"
"10220517","07-06-2006","14-01-2013"
"10220518","08-11-1989","24-01-2023"
"10220520","17-11-2000","30-03-2001"
"10220522","31-05-2005","31-05-2005"
"10220545","14-06-1956","29-06-2022"
"10220596","-","-"
"10220598","01-01-1900","03-10-2022"
"10220599","-","-"
"10220615","-","-"
"10220645","06-05-1987","06-05-1998"
"10220770","-","-"
"10220878","-","-"
"10239051","-","-"
"10257391","-","-"
"10257392","31-12-2007","31-12-2007"
"10257549","15-08-2006","10-02-2012"
"10257550","-","-"
"10257583","-","-"
"10257594","20-02-2007","20-02-2007"
"10257659","",""
"10257660","06-06-2008","13-03-2014"
"10257679","-","-"
"10257744","17-08-2006","09-11-2012"
"10257745","09-11-2012","09-11-2012"
"10257746","01-01-1901","09-11-2012"
"10257749","01-01-1901","09-11-2012"
"10257751","01-05-2009","02-05-2017"
"10257790","31-05-2018","23-10-2019"
"10257811","01-01-1900","-"
"10257998","01-12-2004","19-04-2016"
"10258023","01-01-1900","25-11-2019"
"10258030","",""
"10258034","25-07-2005","05-03-2023"
"10258041","-","-"
"10258047","20-04-2004","05-09-2019"
"10258062","07-10-1999","07-10-1999"
"10258248","09-06-2004","04-09-2023"
"10258256","11-10-2010","22-03-2006"
"10258257","01-02-2000","16-03-2011"
"10258258","01-01-1900","01-01-1900"
"10258261","16-02-2021","01-12-2021"
"10258262","01-01-1900","-"
"10258263","01-01-1900","-"
"10258264","01-01-1900","-"
"10258267","24-06-2005","24-06-2005"
"10258268","",""
"10258269","01-01-1900","01-01-1900"
"10258272","01-01-1900","-"
"10258275","01-01-1900","15-02-2003"
"10258276","01-01-1900","15-03-2007"
"10258277","01-01-1900","01-01-1900"
"10258322","01-01-1900","01-01-1900"
"10258330","-","-"
"10258337","06-05-2015","06-05-2015"
"10258425","01-01-1900","14-07-2015"
"10258426","",""
"10258440","-","28-05-2015"
"10258468","01-01-1900","01-01-1900"
"10258492","06-07-2008","12-01-2017"
"10258504","25-02-1974","26-08-2013"
"10258812","24-03-2016","24-03-2016"
"10259034","11-08-1990","11-09-2014"
"10259074","30-04-2004","13-11-2014"
"10259084","01-01-1984","25-08-2022"
"10259101","01-01-1987","03-05-2021"
"10259218","18-08-2020","28-09-2020"
"10259248","25-08-1987","15-09-2023"
"10259259","20-03-2018","07-03-2006"
"10259295","05-10-2006","05-10-2006"
"10259341","01-01-1900","01-01-1900"
"10259432","09-09-2021","19-07-2021"
"10259547","01-01-1900","-"
"10259553","01-01-1900","-"
"10259560","27-12-1979","20-06-2012"
"10259564","31-07-2008","31-07-2008"
"10259677","01-01-1900","11-10-2011"
"10259718","30-06-2006","03-06-2015"
"10259823","01-01-1900","-"
"10259844","",""
"10259849","01-01-1900","01-01-1900"
"10259856","31-05-2007","31-05-2007"
"10259857","28-06-2008","24-01-2023"
"10259859","01-01-1900","28-11-2008"
"10260057","-","-"
"10260072","31-05-2011","29-07-2015"
"10260076","12-10-2006","02-04-2020"
"10260094","28-09-2022","14-07-2022"
"10260099","-","-"
"10260179","24-11-2020","05-05-2023"
"10260259","12-11-2019","20-04-2020"
"10260454","26-09-2008","26-09-2008"
"10260455","31-08-2009","20-06-2005"
"10260457","19-06-2007","01-07-2007"
"10260484","01-01-1900","-"
